day,hour,beta0,alpha,rho,o2,o2_pred,year,month,yday,par,wspeed,temp,do_eq,sch_conv,nhour,T_S,proc_err,gamma_1,gamma_2,k0,k1,k2,sig_obs,temp_ref,z,do,type,seed,D_M
1,1,378.359454258733,1.487563638768814,88.61885933626635,12625.46389183266,12573.226999140363,2012,6,163,19.99131545107153,3.9,10.219999999999999,10420.132712945036,0.42181170648478233,24,1,-27.70372023044547,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12625.46389183266,fixed_all,4,1
1,2,378.359454258733,1.487563638768814,88.61885933626635,12674.21880523253,12626.063065638991,2012,6,163,6.342035608316466,2.6,10.155000000000001,10438.468075467956,0.4225548887980786,24,1,-106.12930019230225,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12459.312407776288,fixed_all,4,1
1,3,378.359454258733,1.487563638768814,88.61885933626635,12655.50325197029,12609.076288329525,2012,6,163,6.276955304871227,2.4,10.11,10451.191601696277,0.42307097884840883,24,1,11.88541322679339,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12419.191470953483,fixed_all,4,1
1,4,378.359454258733,1.487563638768814,88.61885933626635,12675.244017270143,12633.982530022728,2012,6,163,13.701361989681446,2.1,10.05,10468.194368999833,0.4237611153942878,24,1,-71.6933308322059,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12297.6769347161,fixed_all,4,1
1,5,378.359454258733,1.487563638768814,88.61885933626635,12727.969229183007,12696.734622970853,2012,6,163,35.84569621771254,2,10.004999999999999,10480.975074046557,0.42428023451052693,24,1,-148.74435989086487,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12106.404256123138,fixed_all,4,1
1,6,378.359454258733,1.487563638768814,88.61885933626635,12596.141079390756,12581.46009712747,2012,6,163,69.63290938203704,2,9.99,10485.240774585869,0.42445356377536064,24,1,76.43575790990144,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12153.770782522306,fixed_all,4,1
1,7,378.359454258733,1.487563638768814,88.61885933626635,12585.545751632697,12583.799566080143,2012,6,163,102.42771790964773,1.8,9.98,10488.086095139548,0.42456919715921165,24,1,4.344044255511108,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12142.739005853526,fixed_all,4,1
1,8,378.359454258733,1.487563638768814,88.61885933626635,12603.96555528303,12616.567136117697,2012,6,163,171.10749671668702,2.2,9.95,10496.6293612595,0.4249164843111673,24,1,33.75165959743754,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12174.798205422183,fixed_all,4,1
1,9,378.359454258733,1.487563638768814,88.61885933626635,12599.604322791665,12622.643803512237,2012,6,163,236.50688717200268,1.9,9.940000000000001,10499.479553736886,0.42503237581815456,24,1,133.66601964517577,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12325.55731091488,fixed_all,4,1
1,10,378.359454258733,1.487563638768814,88.61885933626635,12576.739243112104,12601.227402057375,2012,6,163,334.0291574130081,2.7,10.015,10478.13279288383,0.424164762154199,24,1,27.93934447387437,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12382.98533470231,fixed_all,4,1
1,11,378.359454258733,1.487563638768814,88.61885933626635,12623.601361078418,12650.93929325079,2012,6,163,618.7207802995985,2.7,10.115,10449.776669596584,0.42301357157400077,24,1,137.1189318847828,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12554.758742149548,fixed_all,4,1
1,12,378.359454258733,1.487563638768814,88.61885933626635,12544.809993058489,12566.442849193438,2012,6,163,765.3206657150466,3.6,10.33,10389.21910409711,0.4205601288115743,24,1,12.188986263701736,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12606.27411013509,fixed_all,4,1
1,13,378.359454258733,1.487563638768814,88.61885933626635,12456.953441755883,12471.122812198351,2012,6,163,826.8614350402796,4.7,10.635,10304.256555109814,0.41712968531975597,24,1,-33.31149531900337,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12604.88858017987,fixed_all,4,1
1,14,378.359454258733,1.487563638768814,88.61885933626635,12544.409995864811,12551.789395280804,2012,6,163,823.3808273918537,5.1,10.685,10290.43287603385,0.41657285413465467,24,1,31.096375870596603,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12657.169242562903,fixed_all,4,1
1,15,378.359454258733,1.487563638768814,88.61885933626635,12559.658984604957,12572.998195202483,2012,6,163,855.0103100158959,4.5,10.82,10253.254791337096,0.41507712583808526,24,1,44.61159657091957,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12716.920465254088,fixed_all,4,1
1,16,378.359454258733,1.487563638768814,88.61885933626635,12589.872493630253,12598.327958062011,2012,6,163,851.2389433303501,4.8,10.925,10224.484874434605,0.4139215227938633,24,1,9.663307144735882,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12747.555088707326,fixed_all,4,1
