gamma_1,gamma_2,sig_beta0,sig_alpha,sig_rho,sig_proc,lp__,chain,step
1.0677677282177118,1.174858175104291,0.07987239860037645,0.18319762691570146,0.045329717137830745,87.52464104227235,-43230.21947926102,1,1
1.073814605940205,1.1863464931681746,0.07644821352834695,0.2342711399018923,0.06817196114566933,86.29084649144403,-43209.97649998384,1,2
1.063525638368276,1.1704572847735715,0.07517848898544444,0.20503070302508886,0.05455333419717165,88.44396741791999,-43312.13642256539,1,3
1.017838270122028,1.1194786035614681,0.10563021681312403,0.18016538698097873,0.05805347946544118,87.40221066479153,-43171.158154943165,1,4
1.0916723677451292,1.1684027766698544,0.06536809538154695,0.2237119210095376,0.07186966390302575,87.88021482406542,-43210.46176800966,1,5
1.0857140056239551,1.1456722176514214,0.05507811567154418,0.166195302126602,0.026796722877505636,86.44538227295493,-43330.981099595665,1,6
1.0637357350134076,1.135054854916672,0.06285296591805281,0.21360236985294734,0.05097199587584745,88.0127447872666,-43233.13302440778,1,7
1.063461463559627,1.1572988426393518,0.07601236126778997,0.24207635118640852,0.03578311922834382,87.8658181929195,-43334.076297672225,1,8
1.0616018748637432,1.1346793210197428,0.05627059668234288,0.25025982315622797,0.049755986722590156,88.84925134343644,-43281.311184536404,1,9
1.0631516161839656,1.2026005240353035,0.07150624508245607,0.18137213711344982,0.09354242694231357,86.91132499040827,-43204.08051859958,1,10
1.0185050968731824,1.112880486980913,0.0969001987861022,0.2406279379454,0.06793708791599479,87.03735798656594,-43192.77265723711,1,11
1.0627596050286499,1.146784648105241,0.06425554512562848,0.253143939592792,0.058178468337791014,87.57901290786047,-43211.96430606711,1,12
1.0534734563881962,1.175828011082892,0.053880433133452366,0.2151479620598739,0.03199281330617289,87.99871005143,-43316.68914143813,1,13
1.059999931033631,1.1702067124609743,0.06118222613526817,0.1870644256823909,0.05512702741675526,87.55179453803859,-43306.30316135521,1,14
1.0602074521367384,1.2115014927826417,0.07713749142339249,0.18878222394106384,0.08677704214007549,87.2523516460052,-43248.575245345906,1,15
1.0539819397529175,1.1732059849870309,0.04317139741136511,0.21671921297478347,0.06508836188732069,87.72925729272124,-43368.26654679892,1,16
1.0880390042551278,1.1683827086273988,0.06724550854731248,0.2559723014141581,0.062248425121555796,89.01745212173147,-43257.187917712836,1,17
1.0508145620868623,1.2092863640163123,0.0702994361019948,0.21609602950740459,0.0682419110964021,86.81478819946793,-43285.04500351937,1,18
1.0625061722258082,1.112585362551749,0.0576965294316091,0.13874072904197043,0.04096313389681583,87.83474128342745,-43275.95399421394,1,19
1.0513624290435757,1.1190136846652792,0.05998562055798601,0.21491955852812913,0.031102672850551585,88.32594014418584,-43277.87116881037,1,20
1.0775104772931543,1.1843655717440376,0.050127689800190535,0.2546157546473993,0.055371430596271344,88.16008031681811,-43333.71656650304,1,21
1.1290721691699859,1.262331988725268,0.06107814179539804,0.24410556807187958,0.07683271355281074,88.97627757464389,-43200.85725028192,1,22
1.0731135001785488,1.1534954578610483,0.05665812985060508,0.17941149846842455,0.05361718781092387,88.73285985514623,-43351.734549317494,1,23
1.07322666415571,1.219432034586856,0.07625496090172479,0.23398778831606562,0.08920045039014558,87.56053640175776,-43214.27853271338,1,24
1.0516058775383796,1.140738483831899,0.07419994570020438,0.25285211598034457,0.059677698740186566,88.18066874943905,-43208.230893326174,1,25
1.0328229799683561,1.1042390832450553,0.07773496065407387,0.2003872259322019,0.07803339423554723,88.49678033576971,-43172.38649299945,1,26
1.0532237136825426,1.1736820161345036,0.07029728322352127,0.21340514212332815,0.06871597730076748,88.62164181390051,-43262.791274296345,1,27
1.071719954906544,1.1544331355775352,0.05908585242506748,0.22807115031582934,0.03983032171386778,87.58508470722144,-43293.88055730943,1,28
1.03379777183022,1.1482051720256639,0.06315627806911711,0.2680817282973444,0.0494888186507455,87.52529989501424,-43299.540766757185,1,29
1.0111051965209472,1.1260647784146904,0.07559837790971793,0.20578651017236285,0.04345415919583367,87.11547911071939,-43238.876977443986,1,30
1.0933005153462851,1.2301535240513446,0.0792184663315728,0.21713279558856774,0.10504533308466293,87.84010526937624,-43205.06716653415,1,31
1.079842349255282,1.1772726671412581,0.05778805371793117,0.17813369012828043,0.058794930216930816,88.37303464376673,-43159.44542953745,1,32
1.0463027043005502,1.1530866963830178,0.06401774853072269,0.25702631591325664,0.06272672649357232,86.50407812759072,-43309.70656025767,1,33
1.0368628655091707,1.115863310091291,0.08297003402738683,0.2361054317715776,0.046023552313458775,88.08069308260514,-43311.49869228666,1,34
1.0629281491365439,1.181578629721907,0.0791749610579041,0.1626185701521482,0.048160109533353215,88.80759275997367,-43268.39838769959,1,35
1.0603621134959373,1.1746674243999464,0.09810588546839485,0.1760766083242924,0.09789784332425294,88.8787888544934,-43211.37177971649,1,36
1.0316782535973845,1.147881512966378,0.06357710299524907,0.2601778173333006,0.055045303796618546,88.47565045700613,-43306.22104599849,1,37
1.0580925629300582,1.1494541528746496,0.08794174866828346,0.19293961539136947,0.08001011911955852,87.4971851041773,-43320.58394230293,1,38
1.0684001240982575,1.1329274435078684,0.06256530630323927,0.21862361988258389,0.038596270004523515,87.12873045450063,-43157.021536896296,1,39
1.080455739741646,1.1824726064548587,0.054062257816795925,0.2178233852937608,0.0627786232034917,87.97958779302355,-43176.051068296896,1,40
1.0604330843179495,1.2230289569848307,0.059100053942250264,0.23534171431332232,0.08024704740642118,87.24881978782788,-43203.86288033397,1,41
1.057169706639313,1.1710426018858975,0.07865904127987074,0.19089635528447743,0.09432196913015228,89.04308602898705,-43182.72307539936,1,42
1.085449363721565,1.129155761340264,0.07361669254544408,0.23870986119124732,0.04560289857279702,87.33695896673407,-43278.34711591845,1,43
1.1108333748267976,1.219713889645015,0.06268281275749685,0.24344159550540995,0.07292102686489153,87.31163928468024,-43210.32382900091,1,44
1.0582832198856837,1.1924346304096587,0.07498006380192704,0.29284941319206076,0.06600764898873428,87.70111155544247,-43338.49004582573,1,45
1.0825343739851028,1.1754693182006175,0.06896153985513284,0.16477281581041395,0.05731055310747807,88.89641649875855,-43267.088292126246,1,46
1.0718577184008524,1.1804016053486572,0.0676130793701188,0.20403136525778734,0.07221836211450454,86.7818116528794,-43421.55561640363,1,47
1.0761749852528337,1.1846357104015686,0.0707426765626628,0.19783912174567228,0.07109948485784619,88.89855508438687,-43456.49553728595,1,48
1.0765264277149376,1.2229894646866322,0.06116106273590121,0.2742244965906274,0.08692024950606804,87.43385258921118,-43224.05634495921,1,49
1.0617989193406199,1.1742120298200043,0.059078905477534895,0.2214755416238168,0.04988823501311642,88.749598135196,-43317.92870212128,1,50
1.0936257964583296,1.1666825572942334,0.06485198743978147,0.22094910217412828,0.0777112618997599,87.64120091590723,-43158.68564235292,1,51
1.0554877413479147,1.1393942836635484,0.061635476664425995,0.18147731139532228,0.07100760160957646,88.77089402193074,-43414.026949775594,1,52
1.0429060473549414,1.153275723453016,0.06862480160105155,0.19258531646322105,0.09664506610335458,87.8522410621145,-43290.79071449218,1,53
1.0522494771919215,1.1070018389070753,0.07305263195427586,0.23794215047676767,0.05489854820957241,87.68463334751056,-43272.050125387264,1,54
1.0432262142267041,1.1515741430585409,0.06534174069444215,0.23910151040277558,0.05436033673152242,88.43583582968633,-43284.087894996024,1,55
1.068256879535979,1.1372263319070923,0.08309919579516521,0.17809116660156923,0.06314306865767567,87.30825887494969,-43291.15957348782,1,56
1.07326701461422,1.202940545917756,0.06896189266197092,0.22807306231586352,0.08261160018739327,88.79746597680385,-43336.372489452224,1,57
1.0907108623386084,1.1676312285226524,0.05978063638166123,0.2158898963090475,0.062465019485532555,88.32846889115176,-43359.13474962679,1,58
