Plot Title: Incubator_17July2017,,,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Temp)","Intensity, Lux (LGR S/N: 10517223, SEN S/N: 10517223, LBL: Light)",Host Connected (LGR S/N: 10517223),Coupler Detached (LGR S/N: 10517223),Coupler Attached (LGR S/N: 10517223),Stopped (LGR S/N: 10517223),End Of File (LGR S/N: 10517223)
106,2017-07-18 11:01:13,15.187,16533.4,,,,,
107,2017-07-18 11:16:13,15.378,16533.4,,,,,
108,2017-07-18 11:31:13,15.951,19977.9,,,,,
109,2017-07-18 11:46:13,16.618,24800.2,,,,,
110,2017-07-18 12:01:13,18.426,34444.7,,,,,
111,2017-07-18 12:16:13,16.999,55111.5,,,,,
112,2017-07-18 12:31:13,17.475,71644.9,,,,,
113,2017-07-18 12:46:13,16.713,60622.6,,,,,
114,2017-07-18 13:01:13,14.038,37200.2,,,,,
115,2017-07-18 13:16:13,13.75,30311.3,,,,,
116,2017-07-18 13:31:13,12.594,20666.8,,,,,
117,2017-07-18 13:46:13,12.401,21355.7,,,,,
118,2017-07-18 14:01:13,12.401,23422.4,,,,,
119,2017-07-18 14:16:13,12.401,26178,,,,,
120,2017-07-18 14:31:13,12.11,20666.8,,,,,
121,2017-07-18 14:46:13,12.11,14466.8,,,,,
122,2017-07-18 15:01:13,12.304,21355.7,,,,,
123,2017-07-18 15:16:13,12.207,20666.8,,,,,
124,2017-07-18 15:31:13,12.207,23422.4,,,,,
125,2017-07-18 15:46:13,12.304,22044.6,,,,,
126,2017-07-18 16:01:13,12.304,18600.1,,,,,
127,2017-07-18 16:16:13,12.11,17911.2,,,,,
128,2017-07-18 16:31:13,11.916,16533.4,,,,,
129,2017-07-18 16:46:13,11.722,14466.8,,,,,
130,2017-07-18 17:01:13,12.11,12400.1,,,,,
131,2017-07-18 17:16:13,12.11,11022.3,,,,,
132,2017-07-18 17:31:13,11.916,7577.8,,,,,
133,2017-07-18 17:46:13,11.819,8266.7,,,,,
134,2017-07-18 18:01:13,12.69,6544.5,,,,,
135,2017-07-18 18:16:13,12.69,4650,,,,,
136,2017-07-18 18:31:13,12.594,3788.9,,,,,
137,2017-07-18 18:46:13,12.69,4994.5,,,,,
138,2017-07-18 19:01:13,12.013,5511.1,,,,,
139,2017-07-18 19:16:13,11.236,4822.3,,,,,
140,2017-07-18 19:31:13,11.431,3272.2,,,,,
141,2017-07-18 19:46:13,11.334,3616.7,,,,,
142,2017-07-18 20:01:13,11.334,3100,,,,,
143,2017-07-18 20:16:13,11.236,3444.5,,,,,
144,2017-07-18 20:31:13,11.334,3961.1,,,,,
145,2017-07-18 20:46:13,11.334,3961.1,,,,,
146,2017-07-18 21:01:13,11.528,3272.2,,,,,
147,2017-07-18 21:16:13,11.819,3100,,,,,
148,2017-07-18 21:31:13,11.528,2066.7,,,,,
149,2017-07-18 21:46:13,11.334,2066.7,,,,,
150,2017-07-18 22:01:13,11.722,1550,,,,,
151,2017-07-18 22:16:13,12.11,850.4,,,,,
152,2017-07-18 22:31:13,12.207,882.6,,,,,
153,2017-07-18 22:46:13,11.916,484.4,,,,,
154,2017-07-18 23:01:13,11.625,150.7,,,,,
155,2017-07-18 23:16:13,12.207,53.8,,,,,
156,2017-07-18 23:31:13,12.497,21.5,,,,,
157,2017-07-18 23:46:13,12.401,0,,,,,
158,2017-07-19 00:01:13,12.69,0,,,,,
159,2017-07-19 00:16:13,12.594,0,,,,,
160,2017-07-19 00:31:13,12.594,0,,,,,
161,2017-07-19 00:46:13,12.11,0,,,,,
162,2017-07-19 01:01:13,12.11,0,,,,,
163,2017-07-19 01:16:13,12.207,0,,,,,
164,2017-07-19 01:31:13,12.304,0,,,,,
165,2017-07-19 01:46:13,12.013,0,,,,,
166,2017-07-19 02:01:13,12.11,10.8,,,,,
167,2017-07-19 02:16:13,12.304,10.8,,,,,
168,2017-07-19 02:31:13,12.401,21.5,,,,,
169,2017-07-19 02:46:13,12.594,53.8,,,,,
170,2017-07-19 03:01:13,12.401,64.6,,,,,
171,2017-07-19 03:16:13,12.304,64.6,,,,,
172,2017-07-19 03:31:13,12.69,193.8,,,,,
173,2017-07-19 03:46:13,12.883,376.7,,,,,
174,2017-07-19 04:01:13,12.883,656.6,,,,,
175,2017-07-19 04:16:13,13.269,861.1,,,,,
176,2017-07-19 04:31:13,13.558,1377.8,,,,,
177,2017-07-19 04:46:13,13.365,1636.1,,,,,
178,2017-07-19 05:01:13,13.558,1550,,,,,
179,2017-07-19 05:16:13,13.654,3272.2,,,,,
180,2017-07-19 05:31:13,13.654,4133.4,,,,,
181,2017-07-19 05:46:13,13.75,3616.7,,,,,
182,2017-07-19 06:01:13,13.461,5166.7,,,,,
183,2017-07-19 06:16:13,13.846,6200,,,,,
184,2017-07-19 06:31:13,13.558,5338.9,,,,,
185,2017-07-19 06:46:13,13.076,6200,,,,,
186,2017-07-19 07:01:13,13.269,5511.1,,,,,
187,2017-07-19 07:16:13,13.076,8266.7,,,,,
188,2017-07-19 07:31:13,13.076,11711.2,,,,,
189,2017-07-19 07:46:13,13.654,13089,,,,,
190,2017-07-19 08:01:13,13.75,11022.3,,,,,
191,2017-07-19 08:16:13,13.846,10333.4,,,,,
192,2017-07-19 08:31:13,13.75,19289,,,,,
193,2017-07-19 08:46:13,13.654,11022.3,,,,,
194,2017-07-19 09:01:13,13.75,13089,,,,,
195,2017-07-19 09:16:13,14.134,10333.4,,,,,
196,2017-07-19 09:31:13,14.613,17222.3,,,,,
197,2017-07-19 09:46:13,14.613,26178,,,,,
198,2017-07-19 10:01:13,15.187,31689.1,,,,,
199,2017-07-19 10:16:13,15.282,30311.3,,,,,
200,2017-07-19 10:31:13,15.951,30311.3,,,,,
201,2017-07-19 10:46:13,15.569,33066.9,,,,,
202,2017-07-19 11:01:13,16.808,33066.9,,,,,
203,2017-07-19 11:16:13,17.284,39955.8,,,,,
204,2017-07-19 11:31:13,16.332,24800.2,,,,,
205,2017-07-19 11:46:13,16.427,34444.7,,,,,
206,2017-07-19 12:01:13,16.332,38578,,,,,
207,2017-07-19 12:16:13,16.046,41333.6,,,,,
208,2017-07-19 12:31:13,15.378,42711.4,,,,,
209,2017-07-19 12:46:13,14.9,38578,,,,,
210,2017-07-19 13:01:13,15.569,44089.2,,,,,
211,2017-07-19 13:16:13,16.237,66133.8,,,,,
212,2017-07-19 13:31:13,18.331,34444.7,,,,,
213,2017-07-19 13:46:13,19.472,143289.8,,,,,
214,2017-07-19 14:01:13,23.388,198401.3,,,,,
215,2017-07-19 14:16:13,19.377,38578,,,,,
216,2017-07-19 14:31:13,18.521,26178,,,,,
217,2017-07-19 14:46:13,18.14,20666.8,,,,,
218,2017-07-19 15:01:13,17.57,26178,,,,,
219,2017-07-19 15:16:13,16.237,39955.8,,,,,
220,2017-07-19 15:31:13,15.855,37200.2,,,,,
221,2017-07-19 15:46:13,15.76,27555.7,,,,,
222,2017-07-19 16:01:13,16.618,27555.7,,,,,
223,2017-07-19 16:16:13,16.237,16533.4,,,,,
224,2017-07-19 16:31:13,15.187,21355.7,,,,,
225,2017-07-19 16:46:13,15.091,16533.4,,,,,
226,2017-07-19 17:01:13,15.282,10677.8,,,,,
227,2017-07-19 17:16:13,15.187,11711.2,,,,,
228,2017-07-19 17:31:13,15.282,10677.8,,,,,
229,2017-07-19 17:46:13,15.378,10333.4,,,,,
230,2017-07-19 18:01:13,15.378,8611.2,,,,,
231,2017-07-19 18:16:13,15.091,7233.4,,,,,
232,2017-07-19 18:31:13,14.421,5166.7,,,,,
233,2017-07-19 18:46:13,14.421,3961.1,,,,,
234,2017-07-19 19:01:13,14.325,4133.4,,,,,
235,2017-07-19 19:16:13,14.325,4477.8,,,,,
236,2017-07-19 19:31:13,14.325,4650,,,,,
237,2017-07-19 19:46:13,14.421,5166.7,,,,,
238,2017-07-19 20:01:13,15.091,5511.1,,,,,
239,2017-07-19 20:16:13,14.9,8266.7,,,,,
240,2017-07-19 20:31:13,15.187,6544.5,,,,,
241,2017-07-19 20:46:13,14.996,5166.7,,,,,
242,2017-07-19 21:01:13,14.9,5166.7,,,,,
243,2017-07-19 21:16:13,14.709,6200,,,,,
244,2017-07-19 21:31:13,13.846,5166.7,,,,,
245,2017-07-19 21:46:13,13.558,5166.7,,,,,
246,2017-07-19 22:01:13,13.558,3788.9,,,,,
247,2017-07-19 22:16:13,12.11,2755.6,,,,,
248,2017-07-19 22:31:13,11.916,1722.2,,,,,
249,2017-07-19 22:46:13,11.431,1334.7,,,,,
250,2017-07-19 23:01:13,11.431,409,,,,,
251,2017-07-19 23:16:13,11.236,322.9,,,,,
252,2017-07-19 23:31:13,11.041,204.5,,,,,
253,2017-07-19 23:46:13,11.139,172.2,,,,,
254,2017-07-20 00:01:13,11.139,107.6,,,,,
255,2017-07-20 00:16:13,10.944,64.6,,,,,
256,2017-07-20 00:31:13,10.846,53.8,,,,,
257,2017-07-20 00:46:13,10.944,43.1,,,,,
258,2017-07-20 01:01:13,10.748,43.1,,,,,
259,2017-07-20 01:16:13,11.236,43.1,,,,,
260,2017-07-20 01:31:13,11.431,43.1,,,,,
261,2017-07-20 01:46:13,11.528,32.3,,,,,
262,2017-07-20 02:01:13,11.236,75.3,,,,,
263,2017-07-20 02:16:13,10.748,86.1,,,,,
264,2017-07-20 02:31:13,10.651,129.2,,,,,
265,2017-07-20 02:46:13,9.965,236.8,,,,,
266,2017-07-20 03:01:13,10.553,473.6,,,,,
267,2017-07-20 03:16:13,10.651,602.8,,,,,
268,2017-07-20 03:31:13,10.846,785.8,,,,,
269,2017-07-20 03:46:13,10.651,1550,,,,,
270,2017-07-20 04:01:13,11.625,2325,,,,,
271,2017-07-20 04:16:13,11.819,2497.2,,,,,
272,2017-07-20 04:31:13,12.207,3444.5,,,,,
273,2017-07-20 04:46:13,12.013,3961.1,,,,,
274,2017-07-20 05:01:13,11.916,3961.1,,,,,
275,2017-07-20 05:16:13,12.11,5511.1,,,,,
276,2017-07-20 05:31:13,12.401,7233.4,,,,,
277,2017-07-20 05:46:13,12.69,10677.8,,,,,
278,2017-07-20 06:01:13,13.365,13089,,,,,
279,2017-07-20 06:16:13,13.461,13777.9,,,,,
280,2017-07-20 06:31:13,13.942,16533.4,,,,,
281,2017-07-20 06:46:13,14.709,17911.2,,,,,
282,2017-07-20 07:01:13,15.282,18600.1,,,,,
283,2017-07-20 07:16:13,16.141,18600.1,,,,,
284,2017-07-20 07:31:13,14.709,17222.3,,,,,
285,2017-07-20 07:46:13,14.804,17911.2,,,,,
286,2017-07-20 08:01:13,15.187,17222.3,,,,,
287,2017-07-20 08:16:13,14.804,14466.8,,,,,
288,2017-07-20 08:31:13,14.9,17222.3,,,,,
289,2017-07-20 08:46:13,15.664,21355.7,,,,,
290,2017-07-20 09:01:13,15.76,21355.7,,,,,
291,2017-07-20 09:16:13,16.332,24800.2,,,,,
292,2017-07-20 09:31:13,16.332,23422.4,,,,,
293,2017-07-20 09:46:13,16.427,22044.6,,,,,
294,2017-07-20 10:01:13,16.903,20666.8,,,,,
295,2017-07-20 10:16:13,16.713,24800.2,,,,,
296,2017-07-20 10:31:13,18.426,33066.9,,,,,
297,2017-07-20 10:46:13,18.521,30311.3,,,,,
298,2017-07-20 11:01:13,18.426,34444.7,,,,,
299,2017-07-20 11:16:13,21.76,42711.4,,,,,
300,2017-07-20 11:31:13,22.142,44089.2,,,,,
301,2017-07-20 11:46:13,27.961,42711.4,,,,,
302,2017-07-20 12:01:13,36.187,44089.2,,,,,
303,2017-07-20 12:16:13,43.359,41333.6,,,,,
304,2017-07-20 12:31:13,27.567,31689.1,,,,,
305,2017-07-20 12:46:13,24.931,41333.6,,,,,
306,2017-07-20 13:01:13,28.159,57867,,,,,
307,2017-07-20 13:16:13,28.853,37200.2,,,,,
308,2017-07-20 13:31:13,26.195,24800.2,,,,,
309,2017-07-20 13:46:13,19.282,16533.4,,,,,
310,2017-07-20 14:01:13,14.23,12400.1,,,,,
311,2017-07-20 14:16:13,15.473,30311.3,,,,,
312,2017-07-20 14:31:13,16.427,27555.7,,,,,
313,2017-07-20 14:46:13,16.046,14466.8,,,,,
314,2017-07-20 15:01:13,15.664,16533.4,,,,,
315,2017-07-20 15:16:13,15.282,30311.3,,,,,
316,2017-07-20 15:31:13,16.999,22044.6,,,,,
317,2017-07-20 15:46:13,18.236,21355.7,,,,,
318,2017-07-20 16:01:13,18.045,24800.2,,,,,
319,2017-07-20 16:16:13,18.331,17911.2,,,,,
320,2017-07-20 16:31:13,18.426,19289,,,,,
321,2017-07-20 16:46:13,17.57,14466.8,,,,,
322,2017-07-20 17:01:13,17.855,10677.8,,,,,
323,2017-07-20 17:16:13,16.808,13089,,,,,
324,2017-07-20 17:31:13,16.332,13089,,,,,
