year,yday,hour,index,day,o2,o2_pred,alpha,beta0,rho,unique_series,unique_day,do,do_eq,par_int,temp,wspeed,sch_conv,proc_err,obs_err,gamma_1,gamma_2,k0,k1,k2,sig_obs,temp_ref,z,fix_beta0,fix_alpha,fix_rho,sim_o2,type
2013,186,1,1616,73,10890.228442894972,10842.034821761266,4.792553136033832,358.9195894505022,120.79540946300685,21,73,10890,10351.318260498461,1.0881172065287237,10.57,3,0.41785588655945344,21.976626415016653,-0.22844289497152204,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,11344.828592599482,rho_fixed
2013,186,2,1617,73,10876.059328878555,10827.212759442089,4.792553136033832,358.9195894505022,120.79540946300685,21,73,10875,10356.886851508216,0.8659282384822989,10.55,2.9,0.4180798622733453,34.02450711728852,-1.0593288785548793,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,11336.721530987415,rho_fixed
2013,186,3,1618,73,10918.964674890105,10873.63711673057,4.792553136033832,358.9195894505022,120.79540946300685,21,73,10920,10363.854239534883,2.4221206389483534,10.524999999999999,2.2,0.4183601828598798,91.751915448016,1.035325109894984,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,11385.764080010802,rho_fixed
2013,186,4,1619,73,10904.389764075731,10870.38121300357,4.792553136033832,358.9195894505022,120.79540946300685,21,73,10905,10370.829025282377,9.606303074461175,10.5,2.1,0.4186408939168082,30.752647345161677,0.6102359242686362,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,11379.750158009398,rho_fixed
2013,186,5,1620,73,10855.122789015863,10841.769788533751,4.792553136033832,358.9195894505022,120.79540946300685,21,73,10855,10379.20854775015,24.711891811089,10.469999999999999,1.8,0.41897826340967637,-15.25842398770692,-0.12278901586250868,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,11338.143695608815,rho_fixed
2013,186,6,1621,73,10825.365325917017,10858.465658350742,4.792553136033832,358.9195894505022,120.79540946300685,21,73,10825,10387.598755772304,88.36403081757845,10.44,1.8,0.41931619698862527,-16.404462616734236,-0.36532591701688943,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,11316.519874856755,rho_fixed
2013,186,7,1622,73,10874.465702330319,10918.19218818975,4.792553136033832,358.9195894505022,120.79540946300685,21,73,10875,10387.598755772304,136.29032166881345,10.44,1.3,0.41931619698862527,16.00004397957673,0.5342976696811093,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,11377.624978128888,rho_fixed
2013,186,8,1623,73,10881.952597687057,10927.365122420564,4.792553136033832,358.9195894505022,120.79540946300685,21,73,10879.999999999998,10384.80083137339,144.52772764219404,10.45,1.3,0.41920348972513777,-36.23959050269332,-1.9525976870590966,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,11397.579635325274,rho_fixed
2013,186,9,1624,73,11062.41747785902,11108.072945955868,4.792553136033832,358.9195894505022,120.79540946300685,21,73,11065.000000000002,10377.811219104631,176.7280616351569,10.475000000000001,0.9,0.41892199601487834,135.0523554384563,2.582522140981382,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,11586.859172232078,rho_fixed
2013,186,10,1625,73,11072.69306449094,11121.844672312083,4.792553136033832,358.9195894505022,120.79540946300685,21,73,11070,10370.829025282377,320.5069341888618,10.5,0.6,0.4186408939168082,-35.379881464927166,-2.693064490940742,1.0715310581343247,1.1516330640890842,6.303082795457767,0.6927411881411578,1.7,10,12,3.3,FALSE,FALSE,TRUE,11610.84353900811,rho_fixed
