date_time,lux
2015-07-11T15:12:33Z,0
2015-07-11T15:13:12Z,NA
2015-07-11T15:42:33Z,150.7
2015-07-11T16:12:33Z,215.3
2015-07-11T16:42:33Z,161.5
2015-07-11T17:12:33Z,215.3
2015-07-11T17:42:33Z,107.6
2015-07-11T18:12:33Z,150.7
2015-07-11T18:42:33Z,193.8
2015-07-11T19:12:33Z,150.7
2015-07-11T19:42:33Z,86.1
2015-07-11T20:12:33Z,43.1
2015-07-11T20:42:33Z,10.8
2015-07-11T21:12:33Z,10.8
2015-07-11T21:42:33Z,21.5
2015-07-11T22:12:33Z,10.8
2015-07-11T22:42:33Z,10.8
2015-07-11T23:12:33Z,0
2015-07-11T23:42:33Z,0
2015-07-12T00:12:33Z,0
2015-07-12T00:42:33Z,0
2015-07-12T01:12:33Z,0
2015-07-12T01:42:33Z,0
2015-07-12T02:12:33Z,0
2015-07-12T02:42:33Z,0
2015-07-12T03:12:33Z,0
2015-07-12T03:42:33Z,10.8
2015-07-12T04:12:33Z,32.3
2015-07-12T04:42:33Z,64.6
2015-07-12T05:12:33Z,53.8
2015-07-12T05:42:33Z,75.3
2015-07-12T06:12:33Z,118.4
2015-07-12T06:42:33Z,32.3
2015-07-12T07:12:33Z,64.6
2015-07-12T07:42:33Z,118.4
2015-07-12T08:12:33Z,139.9
2015-07-12T08:42:33Z,193.8
2015-07-12T09:12:33Z,301.4
2015-07-12T09:42:33Z,871.9
2015-07-12T10:12:33Z,1097.9
2015-07-12T10:42:33Z,1248.6
2015-07-12T11:12:33Z,1550
2015-07-12T11:42:33Z,1033.3
2015-07-12T12:12:33Z,3788.9
2015-07-12T12:42:33Z,11022.3
2015-07-12T13:12:33Z,9644.5
2015-07-12T13:42:33Z,6544.5
2015-07-12T14:12:33Z,5166.7
2015-07-12T14:42:33Z,4305.6
2015-07-12T15:12:33Z,6544.5
2015-07-12T15:42:33Z,24800.2
2015-07-12T16:12:33Z,3961.1
2015-07-12T16:42:33Z,1894.5
2015-07-12T17:12:33Z,3788.9
2015-07-12T17:42:33Z,2325
2015-07-12T18:12:33Z,1377.8
2015-07-12T18:42:33Z,1636.1
2015-07-12T19:12:33Z,2927.8
2015-07-12T19:42:33Z,2325
2015-07-12T20:12:33Z,1808.3
2015-07-12T20:42:33Z,1108.7
2015-07-12T21:12:33Z,1291.7
2015-07-12T21:42:33Z,635.1
2015-07-12T22:12:33Z,376.7
2015-07-12T22:42:33Z,193.8
2015-07-12T23:12:33Z,64.6
2015-07-12T23:42:33Z,21.5
