date_time,lux
2017-07-18T20:16:13Z,3444.5
2017-07-18T20:31:13Z,3961.1
2017-07-18T20:46:13Z,3961.1
2017-07-18T21:01:13Z,3272.2
2017-07-18T21:16:13Z,3100
2017-07-18T21:31:13Z,2066.7
2017-07-18T21:46:13Z,2066.7
2017-07-18T22:01:13Z,1550
2017-07-18T22:16:13Z,850.4
2017-07-18T22:31:13Z,882.6
2017-07-18T22:46:13Z,484.4
2017-07-18T23:01:13Z,150.7
2017-07-18T23:16:13Z,53.8
2017-07-18T23:31:13Z,21.5
2017-07-18T23:46:13Z,0
2017-07-19T00:01:13Z,0
2017-07-19T00:16:13Z,0
2017-07-19T00:31:13Z,0
2017-07-19T00:46:13Z,0
2017-07-19T01:01:13Z,0
2017-07-19T01:16:13Z,0
2017-07-19T01:31:13Z,0
2017-07-19T01:46:13Z,0
2017-07-19T02:01:13Z,10.8
2017-07-19T02:16:13Z,10.8
2017-07-19T02:31:13Z,21.5
2017-07-19T02:46:13Z,53.8
2017-07-19T03:01:13Z,64.6
2017-07-19T03:16:13Z,64.6
2017-07-19T03:31:13Z,193.8
2017-07-19T03:46:13Z,376.7
2017-07-19T04:01:13Z,656.6
2017-07-19T04:16:13Z,861.1
2017-07-19T04:31:13Z,1377.8
2017-07-19T04:46:13Z,1636.1
2017-07-19T05:01:13Z,1550
2017-07-19T05:16:13Z,3272.2
2017-07-19T05:31:13Z,4133.4
2017-07-19T05:46:13Z,3616.7
2017-07-19T06:01:13Z,5166.7
2017-07-19T06:16:13Z,6200
2017-07-19T06:31:13Z,5338.9
2017-07-19T06:46:13Z,6200
2017-07-19T07:01:13Z,5511.1
2017-07-19T07:16:13Z,8266.7
2017-07-19T07:31:13Z,11711.2
2017-07-19T07:46:13Z,13089
2017-07-19T08:01:13Z,11022.3
2017-07-19T08:16:13Z,10333.4
2017-07-19T08:31:13Z,19289
2017-07-19T08:46:13Z,11022.3
2017-07-19T09:01:13Z,13089
2017-07-19T09:16:13Z,10333.4
2017-07-19T09:31:13Z,17222.3
2017-07-19T09:46:13Z,26178
2017-07-19T10:01:13Z,31689.1
2017-07-19T10:16:13Z,30311.3
2017-07-19T10:31:13Z,30311.3
2017-07-19T10:46:13Z,33066.9
2017-07-19T11:01:13Z,33066.9
2017-07-19T11:16:13Z,39955.8
2017-07-19T11:31:13Z,24800.2
2017-07-19T11:46:13Z,34444.7
2017-07-19T12:01:13Z,38578
2017-07-19T12:16:13Z,41333.6
2017-07-19T12:31:13Z,42711.4
2017-07-19T12:46:13Z,38578
2017-07-19T13:01:13Z,44089.2
2017-07-19T13:16:13Z,66133.8
2017-07-19T13:31:13Z,34444.7
2017-07-19T13:46:13Z,143289.8
2017-07-19T14:01:13Z,198401.3
2017-07-19T14:16:13Z,38578
2017-07-19T14:31:13Z,26178
2017-07-19T14:46:13Z,20666.8
2017-07-19T15:01:13Z,26178
2017-07-19T15:16:13Z,39955.8
2017-07-19T15:31:13Z,37200.2
2017-07-19T15:46:13Z,27555.7
2017-07-19T16:01:13Z,27555.7
2017-07-19T16:16:13Z,16533.4
2017-07-19T16:31:13Z,21355.7
2017-07-19T16:46:13Z,16533.4
2017-07-19T17:01:13Z,10677.8
2017-07-19T17:16:13Z,11711.2
2017-07-19T17:31:13Z,10677.8
2017-07-19T17:46:13Z,10333.4
2017-07-19T18:01:13Z,8611.2
2017-07-19T18:16:13Z,7233.4
2017-07-19T18:31:13Z,5166.7
2017-07-19T18:46:13Z,3961.1
2017-07-19T19:01:13Z,4133.4
2017-07-19T19:16:13Z,4477.8
2017-07-19T19:31:13Z,4650
2017-07-19T19:46:13Z,5166.7
2017-07-19T20:01:13Z,5511.1
2017-07-19T20:16:13Z,8266.7
2017-07-19T20:31:13Z,6544.5
2017-07-19T20:46:13Z,5166.7
2017-07-19T21:01:13Z,5166.7
2017-07-19T21:16:13Z,6200
2017-07-19T21:31:13Z,5166.7
2017-07-19T21:46:13Z,5166.7
2017-07-19T22:01:13Z,3788.9
2017-07-19T22:16:13Z,2755.6
2017-07-19T22:31:13Z,1722.2
2017-07-19T22:46:13Z,1334.7
2017-07-19T23:01:13Z,409
2017-07-19T23:16:13Z,322.9
2017-07-19T23:31:13Z,204.5
2017-07-19T23:46:13Z,172.2
2017-07-20T00:01:13Z,107.6
2017-07-20T00:16:13Z,64.6
2017-07-20T00:31:13Z,53.8
2017-07-20T00:46:13Z,43.1
2017-07-20T01:01:13Z,43.1
2017-07-20T01:16:13Z,43.1
2017-07-20T01:31:13Z,43.1
2017-07-20T01:46:13Z,32.3
2017-07-20T02:01:13Z,75.3
2017-07-20T02:16:13Z,86.1
2017-07-20T02:31:13Z,129.2
2017-07-20T02:46:13Z,236.8
2017-07-20T03:01:13Z,473.6
2017-07-20T03:16:13Z,602.8
2017-07-20T03:31:13Z,785.8
2017-07-20T03:46:13Z,1550
2017-07-20T04:01:13Z,2325
2017-07-20T04:16:13Z,2497.2
2017-07-20T04:31:13Z,3444.5
2017-07-20T04:46:13Z,3961.1
2017-07-20T05:01:13Z,3961.1
2017-07-20T05:16:13Z,5511.1
2017-07-20T05:31:13Z,7233.4
2017-07-20T05:46:13Z,10677.8
2017-07-20T06:01:13Z,13089
2017-07-20T06:16:13Z,13777.9
2017-07-20T06:31:13Z,16533.4
2017-07-20T06:46:13Z,17911.2
2017-07-20T07:01:13Z,18600.1
2017-07-20T07:16:13Z,18600.1
2017-07-20T07:31:13Z,17222.3
2017-07-20T07:46:13Z,17911.2
2017-07-20T08:01:13Z,17222.3
2017-07-20T08:16:13Z,14466.8
2017-07-20T08:31:13Z,17222.3
2017-07-20T08:46:13Z,21355.7
2017-07-20T09:01:13Z,21355.7
2017-07-20T09:16:13Z,24800.2
2017-07-20T09:31:13Z,23422.4
2017-07-20T09:46:13Z,22044.6
2017-07-20T10:01:13Z,20666.8
2017-07-20T10:16:13Z,24800.2
2017-07-20T10:31:13Z,33066.9
2017-07-20T10:46:13Z,30311.3
2017-07-20T11:01:13Z,34444.7
2017-07-20T11:16:13Z,42711.4
2017-07-20T11:31:13Z,44089.2
2017-07-20T11:46:13Z,42711.4
2017-07-20T12:01:13Z,44089.2
2017-07-20T12:16:13Z,41333.6
2017-07-20T12:31:13Z,31689.1
2017-07-20T12:46:13Z,41333.6
2017-07-20T13:01:13Z,57867
2017-07-20T13:16:13Z,37200.2
2017-07-20T13:31:13Z,24800.2
2017-07-20T13:46:13Z,16533.4
2017-07-20T14:01:13Z,12400.1
2017-07-20T14:16:13Z,30311.3
2017-07-20T14:31:13Z,27555.7
2017-07-20T14:46:13Z,14466.8
2017-07-20T15:01:13Z,16533.4
2017-07-20T15:16:13Z,30311.3
2017-07-20T15:31:13Z,22044.6
2017-07-20T15:46:13Z,21355.7
2017-07-20T16:01:13Z,24800.2
2017-07-20T16:16:13Z,17911.2
2017-07-20T16:31:13Z,19289
2017-07-20T16:46:13Z,14466.8
2017-07-20T17:01:13Z,10677.8
2017-07-20T17:16:13Z,13089
2017-07-20T17:31:13Z,13089
2017-07-20T17:46:13Z,10677.8
2017-07-20T18:01:13Z,6200
2017-07-20T18:16:13Z,4994.5
2017-07-20T18:31:13Z,4650
2017-07-20T18:46:13Z,5166.7
2017-07-20T19:01:13Z,5511.1
2017-07-20T19:16:13Z,6200
2017-07-20T19:31:13Z,4822.3
2017-07-20T19:46:13Z,5166.7
2017-07-20T20:01:13Z,8266.7
2017-07-20T20:16:13Z,6544.5
2017-07-20T20:31:13Z,3961.1
2017-07-20T20:46:13Z,3272.2
2017-07-20T21:01:13Z,1808.3
2017-07-20T21:16:13Z,775
2017-07-20T21:31:13Z,775
2017-07-20T21:46:13Z,1722.2
2017-07-20T22:01:13Z,1463.9
2017-07-20T22:16:13Z,226
2017-07-20T22:31:13Z,64.6
2017-07-20T22:46:13Z,10.8
2017-07-20T23:01:13Z,0
2017-07-20T23:16:13Z,10.8
2017-07-20T23:31:13Z,10.8
2017-07-20T23:46:13Z,0
2017-07-21T00:01:13Z,0
2017-07-21T00:16:13Z,0
2017-07-21T00:31:13Z,0
2017-07-21T00:46:13Z,0
2017-07-21T01:01:13Z,0
2017-07-21T01:16:13Z,0
2017-07-21T01:31:13Z,0
2017-07-21T01:46:13Z,0
