gamma_1,gamma_2,k0,k1,sig_beta0,sig_alpha,sig_rho,sig_proc,lp__,chain,step
1.040952546011802,3.68466166386814,3.3563009078247847,0.05934501211569205,0.0654704736607829,0.2123509188487126,0.464935869648572,83.45572960613104,-42896.214961852864,1,1
1.019273928302007,1.8798833929066427,3.290517037434887,0.055636352145723926,0.07286445224414027,0.248110887920835,0.19324911927995284,84.74969013403631,-42971.55939347061,1,2
1.0048958287921252,2.7990298049932996,3.719952743484865,0.05727510900615107,0.07227015540558325,0.23066226203323825,0.3903995546804375,84.88371335442635,-42970.414209975774,1,3
1.0170854341971722,2.9247292841061343,3.1831965490107987,0.054938979636672124,0.08357160070703597,0.18761550280437297,0.4183345627770236,83.44383096806123,-43010.64153141047,1,4
1.0498815419996703,2.1533531761520583,3.089125656999837,0.06171848681366926,0.06044057300039593,0.24207349625490432,0.18241583741182088,84.90883720349271,-42946.18868721893,1,5
1.0159726673318286,2.3287455021406585,3.083803358366642,0.059126199326151666,0.0666851243940869,0.26862540844693983,0.2738026853284031,84.11026273702282,-42920.22646427458,1,6
1.0386722560676938,2.468052504787142,3.214137859968281,0.05826146404179822,0.0836964041547014,0.24954378102846836,0.3533705185698325,84.88828471831042,-43003.78911250918,1,7
1.040718514365805,2.083087695201701,3.0434116884027658,0.05828328970802428,0.07463962330213611,0.2770898861310717,0.28647177889699177,83.56223774829284,-42947.76536764356,1,8
1.0316543993568954,2.4489163368249804,3.6621850091216737,0.05272745461935342,0.06867337958771212,0.2995160532681029,0.3231188674181331,83.89931406706319,-42908.28923567016,1,9
1.0512178252369484,2.3446578987666644,3.3517887994784714,0.06599773632141397,0.07439052163396566,0.2571032580222923,0.2774784108545051,84.59047046271965,-42920.045227759714,1,10
1.0256947647613686,2.2173205724507943,3.3721765284461953,0.0596909868233409,0.07943525361971411,0.25915702835043275,0.28723106216801225,84.22175249352715,-43010.776719494344,1,11
1.0117751204385232,2.344678812761703,3.5298215988691157,0.049439745461717546,0.07350141811723152,0.25648141128107926,0.2790534955999189,83.52921754354922,-42941.61685229046,1,12
1.015365333021913,2.684031006171689,3.2747750445962662,0.06363308667234915,0.06859912555080339,0.2622137661289801,0.40649949813804265,84.94651300988912,-43044.92440663591,1,13
1.024363940627661,2.7788363830523233,3.4391477072495173,0.06547795048734699,0.06628766369942381,0.27534989928409453,0.4905844015547158,83.23433535693768,-42951.90273062798,1,14
