gamma_1,gamma_2,k0,k1,sig_beta0,sig_alpha,sig_rho,sig_proc,lp__,chain,step
1.1170094940671,1.0534555928294753,5.713017022678122,0.4486437711876725,0.012850007211287526,0.004803518674395203,0.02125775356159991,86.05757083333407,-6430.948253352914,1,1
1.0101908460941618,1.0423892307657876,4.918730550480053,0.52051020078685,0.05480065922777265,0.004665672335412334,0.10178726820608787,87.57621011375468,-6477.587467223717,1,2
1.103980705581273,1.0996155593953947,6.021657723015108,0.5812118058021478,0.09093587856178337,3.3702941391763446e-4,0.007361385601959103,83.7663650140535,-6485.972768304055,1,3
1.0686590328659629,1.0820567753477932,5.0217589236580675,0.328568339895583,0.08884896105599117,0.0050685857271383,0.021903449540450204,84.71845763693429,-6437.624707479143,1,4
1.1664582385396964,1.1037067324597267,5.041341574134691,0.6993485506029459,0.07599392231836812,0.00430218367670333,0.002888383486989211,84.31670658488345,-6457.0776197521245,1,5
1.0671195344491395,1.0891982538534801,3.9254159195143288,0.47298948399084845,0.04442163914530078,0.014566204219497324,0.019488706500536277,80.01892161558436,-6462.654418720196,1,6
1.0662267274675399,1.1499308659699714,3.946086611230228,0.5025257190645128,0.07314296010740512,0.0020141942451684324,0.04258603367365163,84.04989760825836,-6451.8451331992865,1,7
1.1284921868834732,1.0835803480019288,6.458430665067881,0.6404829718595636,0.11094106711067107,0.010347873751734439,0.05873802019455583,86.01746543325515,-6446.506369880483,1,8
1.061447502983949,1.0872657027053154,3.207106916884805,0.5669867038000804,0.13030464061998212,0.014967164019834793,0.026061510909961175,84.93510331718353,-6437.48887650996,1,9
1.1303482138559173,1.0956563125816183,3.923037764318604,0.6660461794633924,0.12910563945686673,0.0075451299307501,0.013497964260156514,84.713087231021035,-6443.727475590958,1,10
1.1595837215300242,1.1759970028379394,4.956533363798556,0.5551678022759922,0.08530918291738261,0.0029090946757730487,0.001425061732302423,83.70996121019311,-6464.274029335054,1,11
1.0899859888381476,1.0498896605906596,5.911630912934311,0.4135935244838217,0.042236713431308845,3.41021074135163e-4,6.483997218158568e-4,86.9708087936689,-6476.46435856566,1,12
1.145737327685738,1.105371989923661,4.979703812051379,0.3898171001325134,0.08092228618634752,0.011037143367774753,0.05191257193616784,84.85441561188473,-6426.006652643513,1,13
1.0204364766374805,1.1197610274765757,6.443255193549685,0.7079294269561127,0.06134412018184631,0.0011149120364359027,0.0616538406027419,82.76689343507763,-6448.220368504953,1,14
1.1268244874822895,1.0905818848460926,5.102825757240558,0.43651923365085527,0.027147366899663412,0.019439178681268855,0.05931086046738,84.39052798458503,-6495.085110324043,1,15
1.284053801071071,1.1910934230592463,8.13131146900337,0.44108616618621843,0.10784064688361061,0.020234065904659888,0.15468522818404548,88.54193113747125,-6442.1434900894565,1,16
1.2097444110342639,1.3475476312420216,3.727056845131103,0.4282658166538247,0.036329732171732555,0.009659828600999683,0.07975730101365021,85.75949800297998,-6484.647721790907,1,17
