Date_Time,Temp,SpCond,TurbSC,LDO%,LDO,PCYV
2016-07-23T20:12:26Z,22.26,167,5.4,38.1,3.22,0.0328
2016-07-23T20:42:26Z,22.64,168,4.2,36,3.02,0.0329
2016-07-23T21:12:26Z,22.91,168,4,29.9,2.5,0.0342
2016-07-23T21:42:26Z,23.13,169,4.9,26.1,2.16,0.0064
2016-07-23T22:12:26Z,23.3,169,4.9,19.7,1.63,0.0346
2016-07-23T22:42:26Z,23.42,169,3.7,17.7,1.46,0.0333
2016-07-23T23:12:26Z,23.5,169,4,15.1,1.24,0.0276
2016-07-23T23:42:26Z,23.57,168,3.9,12.8,1.05,0.0331
2016-07-24T00:12:26Z,23.61,169,2.6,12.6,1.04,0.0254
2016-07-24T00:42:26Z,23.64,169,2.5,9.9,0.81,0.027
2016-07-24T01:12:26Z,23.67,169,2.7,7.8,0.64,0.0243
2016-07-24T01:42:26Z,23.68,169,2.4,6.5,0.54,0.0225
2016-07-24T02:12:26Z,23.69,169,2.1,4.1,0.34,0.0201
2016-07-24T02:42:26Z,23.69,169,2.5,5.3,0.44,0.0207
2016-07-24T03:12:26Z,23.67,169,1.8,3.1,0.25,0.0214
2016-07-24T03:42:26Z,23.67,169,2.2,2.8,0.23,0.0215
2016-07-24T04:12:26Z,23.67,169,2.1,1.1,0.09,0.021
2016-07-24T04:42:26Z,23.66,169,1.9,1.3,0.11,0.0199
2016-07-24T05:12:26Z,23.67,170,1.8,0.4,0.03,0.0249
2016-07-24T05:42:26Z,23.67,170,1.7,0.2,0.02,0.0252
2016-07-24T06:12:26Z,23.69,170,1.7,0.1,0,0.0311
2016-07-24T06:42:26Z,23.71,170,1.8,0,0,0.0338
2016-07-24T07:12:26Z,23.72,170,1.9,0.1,0.01,0.1296
2016-07-24T07:42:26Z,23.74,171,1.6,0.1,0.01,0.0522
2016-07-24T08:12:26Z,23.76,171,1.7,0.1,0.01,0.0571
2016-07-24T08:42:26Z,23.77,171,1.7,0.1,0.01,0.1335
2016-07-24T09:12:26Z,23.75,171,1.4,0.2,0.02,0.0789
2016-07-24T09:42:26Z,23.51,171,0.2,0.2,0.01,0.0666
2016-07-24T10:12:26Z,12.18,161,0,77,8.01,0.0056
2016-07-24T10:42:26Z,14.73,165,0,91.9,9.04,0.0087
2016-07-24T11:12:26Z,14.42,156,0.1,116.7,11.57,0.0141
2016-07-24T11:42:26Z,14.43,156,0,116.9,11.57,0.0191
2016-07-24T12:12:26Z,14.44,156,0.1,117.6,11.64,0.0172
2016-07-24T12:42:26Z,14.46,155,0,117.3,11.61,0.0166
2016-07-24T13:12:26Z,14.46,155,0,118.1,11.7,0.0181
2016-07-24T13:42:26Z,14.46,154,0,118.2,11.7,0.0175
2016-07-24T14:12:26Z,14.47,154,0,118.3,11.71,0.0189
2016-07-24T14:42:26Z,14.48,154,0,118.9,11.76,0.0148
2016-07-24T15:12:26Z,14.5,154,0,119.6,11.83,0.016
2016-07-24T15:42:26Z,14.47,155,0,118.6,11.74,0.0163
2016-07-24T16:12:26Z,14.48,154,0,118.8,11.76,0.0161
2016-07-24T16:42:26Z,14.48,154,0,119.2,11.79,0.0165
2016-07-24T17:12:26Z,14.47,154,0.1,118.6,11.73,0.0184
2016-07-24T17:42:26Z,14.46,155,0,118.1,11.7,0.0162
2016-07-24T18:12:26Z,14.45,155,0.2,118.4,11.72,0.0174
2016-07-24T18:42:26Z,14.46,154,0,118.1,11.69,0.0144
2016-07-24T19:12:26Z,14.46,154,0.2,117.8,11.67,0.0152
2016-07-24T19:42:26Z,14.48,154,0,118.3,11.7,0.0151
