param,mean,sd,cv,sen,ela,cont100,quant
rho,126.854847148353,39.29202915797862,0.28417400751253546,0.962479669866922,1,0.6042798471268197,0.16
temp_0,12.49876404494382,1.826808068263169,0.14615909714706357,11.389174996868828,1.07,0.1558698514019153,0.16
rho,137.28728453166445,47.82938160836843,0.3471404038347654,0.9706391697892978,1,0.7363513160269566,0.5
temp_0,12.49876404494382,1.826808068263169,0.14615909714706357,15.343112454902919,1.44,0.26364868397304353,0.5
rho,148.32461874039495,55.33221409279134,0.4107166266122162,0.9780845107879831,1,0.8441301485980846,0.84
temp_0,12.49876404494382,1.826808068263169,0.14615909714706357,19.228956535814312,1.84,0.39572015287318024,0.84
