year,yday,hour,unique_series,day,do,temp,turb,pcyv,o2_sat,par,wspeed,ext,par0,par_int,sch_o2,sch_conv,do_sol,do_eq,series,series_length,index,unique_day
2016,191,17,49,183,11.742606383679089,12.95,0.55,0.0171,101.75,1428.8157407407407,1.1,0.46337551859269344,628.7497351071313,322.067306860588,3886.7197654709994,0.39290179302751244,7.373683282915151,9.720948404416612,12,71,4191,183
2016,191,18,49,183,11.875271434022071,13.18,0.6,0.0171,104,523.049074074074,3.4,0.4663243484956876,230.16751383324618,117.46810005692706,3931.463637121344,0.39065959331312267,7.335820103176494,9.66326379602921,12,71,4192,183
2016,191,19,49,183,12.027137523211561,13.125,0.4,0.018349999999999998,105.4,255.1453703703704,6,0.45452902888371083,112.27660744485739,58.15073606557351,3920.745603515625,0.39119319654011386,7.344843209032342,9.677008490960818,12,71,4193,183
2016,191,20,49,183,12.133889855184803,13,0.45,0.01715,105.95,232.8203703703704,4,0.457477858786705,102.45250106358979,52.86721049485506,3896.429424,0.3924119443166053,7.365422981186857,9.708361927425347,12,71,4194,183
2016,191,21,49,183,12.223687209322106,12.96,0.55,0.0172,105.35,153.08703703703705,3.3,0.46337551859269344,67.36588297625556,34.50712945549213,3888.6609254277123,0.3928037155085242,7.37202992081099,9.718429040997037,12,71,4195,183
2016,191,22,49,183,12.164689276142367,12.915,0.75,0.01695,104.80000000000001,118.00462962962963,3.3,0.4751708382046702,51.92788510475092,26.212965058161647,3879.928750758063,0.3932454894604835,7.379475183682554,9.729774331828889,12,71,4196,183
2016,191,23,49,183,12.102453236333988,12.85,0.3,0.01745,104.15,30.49814814814815,3.7,0.4486313690777224,13.420696610932449,7.0025211018702604,3867.329467557,0.3938855412730377,7.3902527976827574,9.746199064795395,12,71,4197,183
2016,191,24,49,183,12.028512255275368,12.79,0.35,0.01685,103,7.973148148148147,2.4,0.4515801989807166,3.508580318074543,1.8239063489740974,3855.7139570384875,0.3944783940033468,7.400225926623058,9.761399383761281,12,71,4198,183
2016,192,1,49,184,11.92548561338462,12.754999999999999,0.5,0.01615,101.94999999999999,1.59537037037037,2,0.4604266886896992,0.7020420262504282,0.3609340936669135,3848.9447392563984,0.3948251302244671,7.406054505368503,9.770283588996291,12,71,4199,184
2016,192,2,49,184,11.825650307593124,12.72,0.45,0.018349999999999998,100.85,1.4944444444444442,2.7,0.457477858786705,0.6576296171608771,0.3393479225706357,3842.180323670016,0.39517253541631897,7.411891149170886,9.779180610637473,12,71,4200,184
2016,192,3,49,184,11.725013933721055,12.68,0.35,0.0174,99.6,1.8935185185185186,3,0.4515801989807166,0.8332419870470841,0.43315392911996625,3834.455458950144,0.39557039092578333,7.418571494129647,9.789364360461247,12,71,4201,184
