type,seed,year,month,yday,hour,par,wspeed,temp,do_eq,sch_conv,do,T_S,D_M
fixed_all,5,2012,6,163,1,19.99131545107153,3.9,10.219999999999999,10420.132712945036,0.42181170648478233,12625.46389183266,1,1
fixed_all,5,2012,6,163,2,6.342035608316466,2.6,10.155000000000001,10438.468075467956,0.4225548887980786,12762.27303965063,1,1
fixed_all,5,2012,6,163,3,6.276955304871227,2.4,10.11,10451.191601696277,0.42307097884840883,12658.213445676109,1,1
fixed_all,5,2012,6,163,4,13.701361989681446,2.1,10.05,10468.194368999833,0.4237611153942878,12619.60724825451,1,1
fixed_all,5,2012,6,163,5,35.84569621771254,2,10.004999999999999,10480.975074046557,0.42428023451052693,12558.649675935303,1,1
fixed_all,5,2012,6,163,6,69.63290938203704,2,9.99,10485.240774585869,0.42445356377536064,12531.022318913696,1,1
fixed_all,5,2012,6,163,7,102.42771790964773,1.8,9.98,10488.086095139548,0.42456919715921165,12518.262393039222,1,1
fixed_all,5,2012,6,163,8,171.10749671668702,2.2,9.95,10496.6293612595,0.4249164843111673,12479.961702900458,1,1
fixed_all,5,2012,6,163,9,236.50688717200268,1.9,9.940000000000001,10499.479553736886,0.42503237581815456,12368.106016247913,1,1
fixed_all,5,2012,6,163,10,334.0291574130081,2.7,10.015,10478.13279288383,0.424164762154199,12464.688694057742,1,1
fixed_all,5,2012,6,163,11,618.7207802995985,2.7,10.115,10449.776669596584,0.42301357157400077,12440.062023717797,1,1
fixed_all,5,2012,6,163,12,765.3206657150466,3.6,10.33,10389.21910409711,0.4205601288115743,12526.907632325292,1,1
fixed_all,5,2012,6,163,13,826.8614350402796,4.7,10.635,10304.256555109814,0.41712968531975597,12512.809713899698,1,1
fixed_all,5,2012,6,163,14,823.3808273918537,5.1,10.685,10290.43287603385,0.41657285413465467,12567.776613701526,1,1
fixed_all,5,2012,6,163,15,855.0103100158959,4.5,10.82,10253.254791337096,0.41507712583808526,12605.161537234857,1,1
fixed_all,5,2012,6,163,16,851.2389433303501,4.8,10.925,10224.484874434605,0.4139215227938633,12610.07799843322,1,1
fixed_all,5,2012,6,163,17,772.370967154362,3.2,11.04,10193.1209510929,0.4126635800067667,12667.321530039815,1,1
fixed_all,5,2012,6,163,18,706.0783135046669,3.5,11.16,10160.55507444799,0.4113594886925368,12808.234044471621,1,1
fixed_all,5,2012,6,163,19,609.4002209928761,3.6,11.254999999999999,10134.890155525594,0.41033323144385203,12891.165650113744,1,1
fixed_all,5,2012,6,163,20,499.1997379189994,5.2,11.27,10130.847163093415,0.41017168524171954,12950.33762803639,1,1
fixed_all,5,2012,6,163,21,373.56554650590977,4,11.245000000000001,10137.58690024586,0.4104410036965459,13098.639796403066,1,1
fixed_all,5,2012,6,163,22,263.4408666270947,4.6,11.245000000000001,10137.58690024586,0.4104410036965459,13138.424913781342,1,1
fixed_all,5,2012,6,163,23,142.43740575979254,4.4,11.205,10148.385224233149,0.41087269176035457,13128.980188248855,1,1
fixed_all,5,2012,6,163,24,83.43048061082833,1.2,11.17,10157.848671634567,0.41125120640654905,13116.039930430425,1,1
fixed_all,5,2012,6,164,1,21.926633970033947,3.1,11.16,10160.55507444799,0.4113594886925368,13087.461341106993,1,2
fixed_all,5,2012,6,164,2,6.112946736016033,2,11.205,10148.385224233149,0.41087269176035457,13039.365230851792,1,2
fixed_all,5,2012,6,164,3,5.4408088456907135,2.6,11.21,10147.034440210793,0.4108186782881967,12969.038241591797,1,2
fixed_all,5,2012,6,164,4,14.413800088693412,2,11.15,10163.262616510185,0.4114678311528919,12985.045201944247,1,2
fixed_all,5,2012,6,164,5,41.112737910317364,2,11.11,10174.104189922544,0.41190180345660876,12896.840631996907,1,2
fixed_all,5,2012,6,164,6,77.15531575577643,3.2,11.055,10189.041207420112,0.4125000925952711,12970.228105696318,1,2
fixed_all,5,2012,6,164,7,131.12231307922195,4.1,11.02,10198.564623770544,0.412881775364668,12863.964008519288,1,2
