gamma_1,gamma_2,k0,k1,sig_proc,lp__,chain,step
1.1421549917467813,1.0559204736790326,0.09462449614741587,0.680548190156771,95.3893996015332,-30524.36260309115,1,1
1.1271237517827983,1.0483727320053848,0.3343986444651938,0.5960776116771577,94.71753297986068,-30469.375597048434,1,2
1.1629904559811257,1.0109701240962572,1.1634162550346712,0.6486838401108488,95.91655665357675,-30553.747746727564,1,3
1.1420722151380962,1.0319378621918285,0.7901398932501941,0.6883645772839393,96.0543828250356,-30435.552014800352,1,4
1.093815583990417,1.019256756524145,0.9801517888018435,0.6671811610329231,94.80025290202019,-30428.065775918705,1,5
1.124981139040843,1.0353112611765898,0.07181949469960264,0.5775601236213046,96.07881181010421,-30543.489728420842,1,6
1.1057705012563026,1.012188191631001,0.7470959719910893,0.6381027146957857,94.55289101454952,-30515.352473988165,1,7
1.1028587073230436,1.0405006644939916,0.19482926468242673,0.6550245168831436,93.24829802522127,-30402.532477189226,1,8
1.150476709407906,1.031193145362501,2.003681553121727,0.6440606004430318,94.08939530219929,-30362.97471847312,1,9
1.1523029670021727,1.028448580860782,0.7717859114534092,0.6759908252907518,93.9843889619782,-30379.186163537946,1,10
1.1437533006189,1.06086699117965,0.8993120607059688,0.5259539352382022,95.39051118878689,-30464.53589466965,1,11
1.1521779895426412,1.0393648760661873,0.473147849324124,0.6484836183738117,94.98292874689567,-30442.212559290954,1,12
1.1463483395290275,1.0818227784171988,0.7756740828177408,0.650096083587005,96.01643722169521,-30410.16616987314,1,13
1.081771592032434,1.0646143690000867,1.2906692651794547,0.6092776641498755,94.99355745587201,-30417.69331780475,1,14
1.1643258918216062,1.0302722480723394,1.2895945947050762,0.6014664749359199,93.72249209416401,-30440.197207192603,1,15
1.1534558190568651,1.032920561928173,0.454675663319197,0.5882940183228478,94.12482960874763,-30420.32948109809,1,16
1.1088051272437878,1.0460539741519215,0.8037219033357665,0.6107045852562284,96.05800336562848,-30383.485631700645,1,17
1.1668369219626533,1.0259210406571937,1.1515646385761484,0.6365304823228116,95.78394886950908,-30437.260808513198,1,18
1.1099192577597046,1.012459111982761,0.36568135933983303,0.6732815597081527,94.65018566122495,-30400.453259536916,1,19
1.1143678778528243,1.0168847301133337,0.9544887550383803,0.6654987564074522,95.6211386195558,-30397.20056114231,1,20
1.1094212175153657,1.0377980539284957,1.3057726634767386,0.6963342743407843,95.16827198347988,-30420.107058292153,1,21
1.1429267954896996,1.0436551415595174,0.5077024668479531,0.6287740955696476,94.69360859866791,-30420.64431349125,1,22
1.1242624858114891,1.018571369820648,0.2396904773339134,0.7261915037591816,93.86523968818433,-30435.803048054295,1,23
1.0914016172309082,1.0463614054122745,0.7514911669673398,0.5548053004976824,93.40068838480259,-30487.46942223455,1,24
1.1265297917298078,1.0026745913295483,0.09133896659491066,0.6897495725774594,93.4747201091816,-30428.959818639538,1,25
1.1307827442428,1.0264957562338177,0.08130237324407676,0.6342483602513495,93.69615986935261,-30472.283573847282,1,26
1.1505081647023117,1.008084289848218,0.12141657547746237,0.6483664939033663,92.93378700222014,-30377.25008051699,1,27
1.1569329143910332,1.061608110381348,0.46838260644071866,0.7171441898386107,94.83592696960886,-30451.938452560502,1,28
1.0982081822063077,1.046604646377221,0.7075297812862992,0.5811722511624239,96.39776398340952,-30495.548052747286,1,29
1.145781190869759,1.017872187273396,0.26437514208460133,0.6660397069792904,95.0444058837036,-30427.264034777574,1,30
1.1461843087500232,1.0513253040560773,1.0855900854574096,0.6209029089264846,95.46853830689466,-30435.58924076053,1,31
1.1211142669992467,1.0683684850988715,1.8814389609246172,0.5889397699040332,95.71585423425304,-30485.579070226962,1,32
1.145986959261279,1.0283564492518877,1.1189937697010834,0.6885856576767804,94.28113673931217,-30490.870862582204,1,33
1.1541899965657016,1.0437225167034658,0.4649032224422665,0.6752735988019113,94.83971980025638,-30461.095366206933,1,34
1.07369726949529,1.052166966968228,0.31036352842878967,0.5728241546233741,94.43206197504534,-30434.850972316493,1,35
1.0896964549415058,1.0170743168157546,0.23239221073349714,0.6777760137232299,94.87064466871435,-30322.297765447103,1,36
1.146016625963377,1.0276170071081352,0.31273547181961586,0.6950319319436413,96.54792516077646,-30409.052419442927,1,37
1.1778672648895558,1.038536100991334,0.031704503989492205,0.695239282640496,94.67757783007072,-30440.99966569075,1,38
1.1848429607352997,1.0430073783312546,0.9980414691760983,0.6151628738104595,94.32280795249893,-30485.42388050495,1,39
1.1527048533860944,1.0884821854341709,0.6588666767421613,0.5922660062718917,93.63469909362097,-30508.550755383912,1,40
1.1660396531545625,1.0422982254103932,1.1083484053467598,0.5876819894261067,93.86125759429258,-30528.19923836288,1,41
1.1423488204332959,1.0070918126659543,0.5318356448560299,0.5551031082477513,94.89693634640686,-30522.429806945525,1,42
1.1532242672754454,1.02996907884626,0.1446364182345539,0.6624032803821607,93.22077084172783,-30392.977786533258,1,43
1.0963223216057971,1.0518013665670467,1.475834941302361,0.4417595238758673,96.40777334745633,-30402.659524993338,1,44
1.083205998606009,1.016380580109791,0.962279552196533,0.6018157979165909,93.9848894129678,-30365.036054794644,1,45
1.095227446997825,1.070801262532462,0.08691400009620753,0.665766834429192,92.66901418684488,-30511.876214785778,1,46
1.1729178634635375,1.0372071892299124,0.7524868715942694,0.6488829555073768,92.8969419880355,-30532.671781867928,1,47
1.1108513869414358,1.0409723567826255,0.08575062691850568,0.5816864585144422,96.49343025798565,-30527.996169529986,1,48
1.1204941829607615,1.0239259571184771,1.1172211531207528,0.5725423293784836,95.84098717755184,-30379.438950067884,1,49
1.1255134393291664,1.0217594240699628,1.145806146342259,0.6242829619340133,95.46192214053059,-30530.905167534507,1,50
1.1080306774869109,1.0436288234178783,1.971979504998181,0.52723101855874,94.17869700242508,-30457.679792534058,1,51
1.1256933166177694,1.0630805070141192,1.8472379841153863,0.5758713235548422,92.67706233311719,-30415.075676396867,1,52
1.1015956621776268,1.0125379425582268,1.2188770613395303,0.5240143840994291,95.1447330415271,-30507.691685878985,1,53
1.1130195058735435,1.077832412058649,0.5724942349019971,0.6201997059207501,93.36364102219916,-30422.380940827115,1,54
1.1163021609910222,1.007292826110119,1.2001277024752321,0.6112195470968108,95.51457850867958,-30505.769078607907,1,55
1.150234249251248,1.0353913034296804,1.156640496531252,0.5777287780603303,96.44026626412789,-30327.701872337457,1,56
1.1241623558770528,1.0030317039558116,0.2588818130406306,0.6530142699199287,93.67515059571656,-30438.096778942803,1,57
1.1677902646420035,1.1199438217216646,0.17686547317588977,0.6504318554287543,94.4548972935797,-30437.278964709527,1,58
1.1352663824862317,1.0399348948191127,1.098211045199383,0.5772931340435743,93.34970466788627,-30454.577785198126,1,59
1.077557487809764,1.0248081361032315,0.6037232145626026,0.5197618196522015,95.00960183018512,-30563.028324989744,1,60
1.0744592291391981,1.0648051836317585,0.05084400764360369,0.6107450455745089,94.5204799104419,-30513.206298713223,1,61
1.1477638573115818,1.063389661936621,0.11861255375093124,0.7516161047906391,95.43719420420399,-30454.52637839649,1,62
1.1776578520630876,1.040178358482462,0.4511474275392539,0.5546999432676397,95.07475629556403,-30484.319209256137,1,63
1.1547219621317888,1.037535346351392,0.2212344244521671,0.6652506881422845,94.87578915946192,-30366.398429526478,1,64
1.1064018686840342,1.044129434933725,0.01635627305841108,0.672664483662043,93.47470406052231,-30392.08003405448,1,65
1.097296019179215,1.0121420943226973,0.5797819462042116,0.6817815476295028,94.30839049515531,-30470.892990461994,1,66
1.1067295108090203,1.0256969486019742,0.09920183584383808,0.6608943264499815,93.63257762169336,-30428.361582442445,1,67
