day,hour,beta0,alpha,rho,o2,o2_pred,year,month,yday,par,wspeed,temp,do_eq,sch_conv,nhour,T_S,proc_err,gamma_1,gamma_2,k0,k1,k2,sig_obs,temp_ref,z,do,type,seed,D_M
1,1,304.99451635657385,1.5022596588753268,55.75033232012845,12625.46389183266,12573.226999140363,2012,6,163,19.99131545107153,3.9,10.219999999999999,10420.132712945036,0.42181170648478233,24,1,NA,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12625.46389183266,fixed_none,5,1
1,2,304.99451635657385,1.5022596588753268,55.75033232012845,12674.21880523253,12626.063065638991,2012,6,163,6.342035608316466,2.6,10.155000000000001,10438.468075467956,0.4225548887980786,24,1,100.99180609216637,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12770.33770737948,fixed_none,5,1
1,3,304.99451635657385,1.5022596588753268,55.75033232012845,12655.50325197029,12609.076288329525,2012,6,163,6.276955304871227,2.4,10.11,10451.191601696277,0.42307097884840883,24,1,29.44018633129963,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12674.09862384493,fixed_none,5,1
1,4,304.99451635657385,1.5022596588753268,55.75033232012845,12675.244017270143,12633.982530022728,2012,6,163,13.701361989681446,2.1,10.05,10468.194368999833,0.4237611153942878,24,1,66.16772894061796,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12643.148855792782,fixed_none,5,1
1,5,304.99451635657385,1.5022596588753268,55.75033232012845,12727.969229183007,12696.734622970853,2012,6,163,35.84569621771254,2,10.004999999999999,10480.975074046557,0.42428023451052693,24,1,93.98669916027939,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12589.716246182326,fixed_none,5,1
1,6,304.99451635657385,1.5022596588753268,55.75033232012845,12596.141079390756,12581.46009712747,2012,6,163,69.63290938203704,2,9.99,10485.240774585869,0.42445356377536064,24,1,-100.5935435800966,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12569.48154878503,fixed_none,5,1
1,7,304.99451635657385,1.5022596588753268,55.75033232012845,12585.545751632697,12583.799566080143,2012,6,163,102.42771790964773,1.8,9.98,10488.086095139548,0.42456919715921165,24,1,4.085654505226557,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12563.635859209431,fixed_none,5,1
1,8,304.99451635657385,1.5022596588753268,55.75033232012845,12603.96555528303,12616.567136117697,2012,6,163,171.10749671668702,2.2,9.95,10496.6293612595,0.4249164843111673,24,1,20.16598920288743,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12531.21993548987,fixed_none,5,1
1,9,304.99451635657385,1.5022596588753268,55.75033232012845,12599.604322791665,12622.643803512237,2012,6,163,236.50688717200268,1.9,9.940000000000001,10499.479553736886,0.42503237581815456,24,1,-16.96281332603212,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12421.482236499858,fixed_none,5,1
1,10,304.99451635657385,1.5022596588753268,55.75033232012845,12576.739243112104,12601.227402057375,2012,6,163,334.0291574130081,2.7,10.015,10478.13279288383,0.424164762154199,24,1,-45.90456040013305,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12516.126390134159,fixed_none,5,1
1,11,304.99451635657385,1.5022596588753268,55.75033232012845,12623.601361078418,12650.93929325079,2012,6,163,618.7207802995985,2.7,10.115,10449.776669596584,0.42301357157400077,24,1,22.373959021042538,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12484.809891739347,fixed_none,5,1
1,12,304.99451635657385,1.5022596588753268,55.75033232012845,12544.809993058489,12566.442849193438,2012,6,163,765.3206657150466,3.6,10.33,10389.21910409711,0.4205601288115743,24,1,-106.12930019230225,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12560.503663119993,fixed_none,5,1
1,13,304.99451635657385,1.5022596588753268,55.75033232012845,12456.953441755883,12471.122812198351,2012,6,163,826.8614350402796,4.7,10.635,10304.256555109814,0.41712968531975597,24,1,-109.4894074375552,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12534.843623213163,fixed_none,5,1
1,14,304.99451635657385,1.5022596588753268,55.75033232012845,12544.409995864811,12551.789395280804,2012,6,163,823.3808273918537,5.1,10.685,10290.43287603385,0.41657285413465467,24,1,73.2871836664599,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12578.115004459207,fixed_none,5,1
1,15,304.99451635657385,1.5022596588753268,55.75033232012845,12559.658984604957,12572.998195202483,2012,6,163,855.0103100158959,4.5,10.82,10253.254791337096,0.41507712583808526,24,1,7.869589324152912,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12604.047558099048,fixed_none,5,1
1,16,304.99451635657385,1.5022596588753268,55.75033232012845,12589.872493630253,12598.327958062011,2012,6,163,851.2389433303501,4.8,10.925,10224.484874434605,0.4139215227938633,24,1,16.874298427770555,1.0937947726031934,1.1317781367267294,9.019064648527742,0.7732925424763992,1.7,10,12,3.3,12597.699971816093,fixed_none,5,1
