gamma_1,gamma_2,sig_b0,sig_a,sig_r,sig_proc,lp__,chain,step
1.0724648681078834,1.1882780805235231,0.08047524152209527,0.17447531536812869,0.07569756314992311,0.0993824592556317,9560.725360951254,1,1
1.0396642351062213,1.115156004623203,0.07469477151246356,0.1189028604986285,0.04426533719955816,0.10015704983084205,9659.233648410102,1,2
1.0719001259455296,1.189571683494065,0.06434729976308039,0.15107766260571343,0.0638316413669767,0.10058630603781402,9712.278211446453,1,3
1.0686772767115083,1.1162948119378002,0.055653316031093844,0.1597894179044363,0.024927220034451983,0.10072416990002923,9476.424500024106,1,4
1.071923659496484,1.1254710915145731,0.056608114248154685,0.15063176288588812,0.020259493620521,0.0991780981183707,9490.489308847378,1,5
1.0765496019980119,1.1242990375920612,0.05815425041538726,0.1553372479834288,0.05428246279678971,0.10003249948336893,9602.384861644283,1,6
1.06216300507419,1.134269800752987,0.06738397160652776,0.14613860290241767,0.0569589141479085,0.09786931866680261,9677.818299520919,1,7
1.051552240480627,1.1398488599606484,0.06992158849479142,0.10128762730496761,0.09916747155770993,0.0997747279653324,9581.030747847379,1,8
1.0253359941710727,1.1280634195563453,0.0816258822200034,0.13039168923248576,0.058126670044594854,0.09843749993634528,9669.784165567791,1,9
1.074694886602269,1.1413457389105974,0.05118450314139725,0.2496380145140516,0.0468232720677726,0.10140516555210621,9677.86913273255,1,10
1.0500865374519996,1.1236067398430551,0.053170741196616016,0.1280772776510088,0.027645099159301547,0.09958597681766071,9667.912238958617,1,11
1.0767345786014633,1.167375650643909,0.04484321441089797,0.1569943191049796,0.042864409023210974,0.09910114020397578,9626.880472064797,1,12
1.07685986717374,1.1175968226330524,0.07811472617550849,0.24236273522918836,0.049773751109885855,0.09964298733893447,9584.716737391824,1,13
1.0631438012563168,1.1355950778145893,0.06370219856919326,0.19564700305264682,0.038744061309684656,0.0997374104502238,9694.613244114227,1,14
1.0734882796707026,1.183876639359066,0.06292901211427544,0.1538720994057286,0.06501014512746307,0.10066462888295527,9585.047258960347,1,15
1.0933616633700958,1.1957223129599273,0.07142122438080697,0.17808775762537382,0.057946696303014286,0.10113407089618276,9619.682111591088,1,16
1.052133989477697,1.1432034894953529,0.07527798595984071,0.12089086209674357,0.050301618638722026,0.09898091806997418,9578.789870893484,1,17
1.0769901310178098,1.1583863900382367,0.054891764370315226,0.17378045273360962,0.060839168898415445,0.0989302652607281,9668.341321525462,1,18
1.0495153370913743,1.12149900950997,0.08569868900311103,0.1323111416991683,0.053240809011086514,0.10064958142826202,9641.003213924481,1,19
1.065426023125572,1.1423508763037034,0.058605107287755746,0.16231882965544317,0.06161565256584043,0.101194536164992,9557.575099291027,1,20
1.0473630702078012,1.1253522809573397,0.05717436416129165,0.19202193004633467,0.03477938799803254,0.1002957222476324,9721.715064220629,1,21
1.0568716955820399,1.1361080155607852,0.05103241918400228,0.15280534327049874,0.05028250819918674,0.09866112540399612,9518.325562722466,1,22
1.0509260994838734,1.1195051863691132,0.07805970001737071,0.0915335580331321,0.04767266952360189,0.09911019898515468,9648.428834576125,1,23
1.06612321720227,1.204819038482592,0.09412225263474765,0.23752452931464815,0.09108560327785356,0.0994026040393545,9580.95485014041,1,24
1.05400902880507,1.1318693334656054,0.0663061259258146,0.06402229142624591,0.0449533301277322,0.09881472532059274,9603.33501279074,1,25
1.0792698183212972,1.1482014619854386,0.0463286019230917,0.1920545354388309,0.037029882369530885,0.09813299734625654,9572.525047211833,1,26
1.0684416093866391,1.1840498170537228,0.07174123825264409,0.18157466437544048,0.06997706758933855,0.09963558632400896,9506.761633384693,1,27
1.0792293295617321,1.1478987394128841,0.05827811422245011,0.1191678709500784,0.06732551891870418,0.10021336117033554,9551.809911796012,1,28
1.0467070770632927,1.1538236966133768,0.05984537728913609,0.1501662270620199,0.07040750547954502,0.09911296887949565,9702.432847863454,1,29
1.0305001518911772,1.153780186941808,0.06670226393240043,0.15733606552342932,0.07474025637751253,0.09958368952981604,9603.208135364404,1,30
1.0615569314402955,1.1312728544758355,0.07735287378184014,0.08621572642674956,0.08087596758570514,0.10090746235520344,9630.53153347228,1,31
1.0754928357212525,1.1773694533190133,0.07638221536766872,0.20563558659839787,0.06979291082453302,0.1000315099600208,9569.479591036115,1,32
1.074067213017751,1.1331030243588593,0.06059605242913351,0.17328647287186075,0.054656969262960174,0.10067321786907044,9632.429087754379,1,33
1.0617635294156034,1.1436278899156367,0.05945217223747575,0.13067003326625784,0.0703790317588023,0.09909107181833737,9652.779389270107,1,34
1.0436712087147315,1.164216777323107,0.07815620501260748,0.19849646846960528,0.08997003907857125,0.09785689642191595,9622.646851272124,1,35
1.0805819417615126,1.1896924522413892,0.05643247846431284,0.23014218408943926,0.07311613020426534,0.09746010058410434,9679.424982064671,1,36
1.0535874362644377,1.122268593669838,0.04793405682744044,0.10390659437004722,0.03193137803402423,0.09928565347313158,9548.684936710744,1,37
1.0571044582384068,1.1339881043936357,0.06560890768603775,0.12189004823192028,0.056145268722507614,0.10015282669537007,9558.123356178672,1,38
1.050865702013556,1.1361126464691247,0.0565647621683438,0.11833520794896818,0.0644595245340018,0.09931516263959078,9596.321709270129,1,39
1.0858985228534797,1.1685558287406494,0.061173551017334016,0.1942285625125598,0.0595164590600636,0.09930609438703485,9684.674797122076,1,40
1.073942784708215,1.1124679078787112,0.05700268188948494,0.17539435291153285,0.03368405806087285,0.09951699241040594,9636.010269027713,1,41
1.0577410324628351,1.1289560733040032,0.0645634999782999,0.12004137384442455,0.05463631495381636,0.09904485453518495,9627.259076306318,1,42
1.0456746435574242,1.145588858142271,0.06451229038814192,0.22160618633971593,0.061390002470136575,0.10015844416178553,9621.122492461413,1,43
1.0853235284720117,1.1986272998591199,0.0719054065044136,0.22349737197991706,0.09193172820230613,0.1001876604182542,9680.592299779875,1,44
1.0324795578449983,1.1746510441682785,0.06873365316539382,0.1711280184858465,0.08371395197554199,0.09801450212877491,9672.588039342629,1,45
1.0336046922275455,1.1406001585262695,0.04724246091041791,0.2590209820699428,0.04885396980686227,0.0995944751114165,9484.06530492988,1,46
1.0698474044959145,1.1577852916511822,0.05147769271944882,0.17175694305548042,0.053995689462396634,0.10040943196087597,9614.751795405777,1,47
