datetime,site,year,temp.ben,do.ben,dosat.ben,par.ben,temp.pel,do.pel,dosat.pel,par.pel,k,wdir,wspeed,wspeedbw,gust
2018-06-15T08:00:00Z,st33,2018,11.6885,10.2203333333334,97.4202124166667,24.2942,11.72,10.31,98.25,62.9259,0.410378379036586,332,5.4,6.2,8.5
2018-06-15T09:00:00Z,st33,2018,11.72575,10.2663333333333,97.9422074166667,71.688425,11.72,10.33,98.45,175.236625,0.385994715657081,336,6.2,6.2,8.6
2018-06-15T10:00:00Z,st33,2018,11.7173333333334,10.3190833333333,98.4262106666666,56.553575,11.665,10.36,98.6,146.561625,0.410865723665578,327,5.7,6.5,9.8
2018-06-15T11:00:00Z,st33,2018,11.56625,10.396,98.81716075,56.5545,11.525,10.46,99.25,146.56255,0.410817725701796,329,7,7.5,10.4
2018-06-15T12:00:00Z,st33,2018,11.532,10.4734166666667,99.47493825,82.8393,11.485,10.54,99.9,245.331275,0.468807999576702,318,6.3,7.5,10
2018-06-15T13:00:00Z,st33,2018,11.5706666666667,10.57,100.481490166667,90.804475,11.53,10.655,101.1,280.379525,0.483452665686944,327,7.7,7.7,10.8
2018-06-15T14:00:00Z,st33,2018,11.6101666666667,10.6746666666667,101.568537666667,73.281275,11.615,10.725,101.95,213.4715,0.4602174193248,334,6.6,7.5,10.3
2018-06-15T15:00:00Z,st33,2018,11.6210833333333,10.7336666666667,102.15533225,76.466975,11.575,10.775,102.3,184.795575,0.382956621819311,332,7.8,8.5,12
2018-06-15T16:00:00Z,st33,2018,11.5206666666666,10.8003333333334,102.552967416666,60.536625,11.495,10.855,102.9,178.42325,0.465181807283079,335,6.4,7.8,10.9
2018-06-15T17:00:00Z,st33,2018,11.3731666666667,10.8975,103.125103583333,47.7929,11.355,10.98,103.8,137.0036,0.457705872528383,337,7.2,7.7,10.8
2018-06-15T18:00:00Z,st33,2018,11.1314166666667,11.01325,103.640435583333,35.84375,11.095,11.09,104.2,105.141975,0.466972733312736,337,5.6,7.3,9.9
