param,quant,cv,ela,cont100
alpha,0.16,0.55,0.12,-0
beta0,0.16,0.27,1.9,0.78
par_int_0,0.16,1.29,0.12,0.07
rho,0.16,0.23,-1,-0.09
temp_0,0.16,0.17,-0.63,-0.05
alpha,0.5,0.62,0.16,0.02
beta0,0.5,0.3,1.95,0.89
par_int_0,0.5,1.29,0.16,0.13
rho,0.5,0.28,-1,-0.03
temp_0,0.5,0.17,-0.29,-0.02
alpha,0.84,0.69,0.21,0.05
beta0,0.84,0.32,2.01,0.98
par_int_0,0.84,1.29,0.21,0.22
rho,0.84,0.33,-1,0.04
temp_0,0.84,0.17,0.02,0
