name,middle,lower16,upper84
gamma_1,1.062,1.045,1.078
gamma_2,1.149,1.126,1.177
sig_b0,0.063,0.053,0.073
sig_a,0.213,0.175,0.254
sig_r,0.054,0.037,0.073
sig_proc,0.099,0.098,0.1
