param,quant,cv,ela,cont100
alpha,0.16,0.55,0.06,0.02
beta0,0.16,0.27,0.9,0.62
par_int_0,0.16,1.29,0.06,0.04
temp_0,0.16,0.17,0.51,0.11
alpha,0.5,0.62,0.08,0.04
beta0,0.5,0.3,0.92,0.71
par_int_0,0.5,1.29,0.08,0.08
temp_0,0.5,0.17,0.69,0.17
alpha,0.84,0.69,0.1,0.06
beta0,0.84,0.32,0.94,0.78
par_int_0,0.84,1.29,0.1,0.13
temp_0,0.84,0.17,0.87,0.23
