param,quant,cv,ela,cont100
rho,0.16,0.23,1,0.32
temp_0,0.16,0.17,1.49,0.42
rho,0.5,0.28,1,0.44
temp_0,0.5,0.17,1.75,0.56
rho,0.84,0.33,1,0.58
temp_0,0.84,0.17,2.06,0.68
