gamma_1,gamma_2,sig_b0,sig_a,sig_r,sig_proc,lp__,chain,step
1.056264906427423,1.1326300641664044,0.0010963439667084946,0.03795550961099804,0.010244564593716985,0.04965449274876539,15013.445302254248,1,1
1.0471269695713692,1.1211156710418224,0.0028894626711631777,0.0020705272102162263,0.004904773572085164,0.04956318782362892,15120.426977631352,1,2
1.059058175616022,1.1424931807486634,0.006908912879125295,0.009957886068176821,0.003793273674031132,0.048595704867912044,15139.312616038327,1,3
1.0607731404627732,1.1348424092798293,0.0021928752748110293,0.014528599464261539,0.0010336397821931302,0.04952856509697206,15083.833382265637,1,4
1.0680256193825077,1.156405364394981,8.474908476032e-4,0.006486776596735708,0.008186094139183081,0.04918732612498897,15222.84393395188,1,5
1.0765501980757402,1.1605809413829895,0.0031720350428986253,0.0023377621781026157,0.0020488533287329924,0.04902613033332091,15004.416928365237,1,6
1.0510067252999542,1.1496563045853163,0.00293685118319618,0.032422163424609546,0.038014887404883964,0.04976472217846958,15025.769232841421,1,7
1.0718994829225268,1.1457587335532067,0.0015689442271781806,0.03386365283162714,0.004970641602673354,0.04855256006235428,15051.731653756335,1,8
1.0609809421749439,1.1377206296537856,0.004045896191560141,0.01241993391092599,0.005599744667363529,0.048895541646154866,15076.680501990735,1,9
1.069526930094797,1.154039795524911,8.289227159419128e-4,0.0024186916252521996,0.0024187002922994565,0.04977489524859681,14970.338413622994,1,10
1.0591901958114118,1.1166530794914482,0.004037193937537903,0.017719731055578725,0.003923327558289755,0.048864776799193585,15051.253633447906,1,11
1.0570381219215876,1.1414841037093146,0.0012906846392527465,0.004586747839340559,0.005119478573229598,0.04957431544792493,15037.032714262368,1,12
1.06147513200829,1.1413588597628723,0.0023582250241769268,0.0013967961439903824,0.0072409290227033974,0.04884908335153265,15092.024791465954,1,13
1.0477761248666075,1.1384080969797221,3.5244242531041114e-4,0.02796726454434785,0.012412222123490512,0.04990547935665926,15016.534982161767,1,14
1.0781057413274673,1.1429311139307872,0.0037127650390882546,0.004000018185617675,3.549297512546105e-4,0.04962767985193876,15008.225546383224,1,15
1.0593206334894063,1.1452669727568312,8.362117638510071e-4,6.237431687652827e-4,2.3794829841686767e-4,0.04996637518804409,15038.95235355105,1,16
1.0769749491686889,1.1561563828545667,0.005110107357343991,0.0268821384047537,3.6592602032424417e-4,0.04939665638633265,14936.435124646925,1,17
1.0586119464865476,1.141172939956903,0.0016994809259620644,0.014228918205364573,7.345366940365723e-4,0.04931565443135009,15075.867593198682,1,18
1.0555879860771156,1.1361412650178684,3.024740865548218e-4,0.010226522004999055,5.821106894793855e-4,0.0497667340141675,15084.730288165067,1,19
1.0459208922419505,1.121764301192524,0.015300498375722872,0.03973555027878133,0.0037865271995137393,0.04950963538894208,15092.984783073729,1,20
1.0543823442090412,1.142335858495167,2.979571083821996e-4,0.005898689597301206,0.0049731262589738714,0.049422094512406006,14984.255047391154,1,21
1.0585188923046336,1.1431506572888877,0.00641974912841279,0.042378280703415705,0.004289826425372708,0.048632858593300875,14995.621606954663,1,22
