param,quant,cv,ela,cont100
alpha,0.16,0.42,0.16,-0.02
beta0,0.16,0.17,2.14,0.33
par_0,0.16,1.3,0.16,0.21
rho,0.16,0.25,-1,-0.05
temp_0,0.16,0.18,0.38,0.05
alpha,0.5,0.5,0.22,0
beta0,0.5,0.2,2.25,0.47
par_0,0.5,1.3,0.22,0.35
rho,0.5,0.31,-1,0.01
temp_0,0.5,0.18,0.79,0.12
alpha,0.84,0.59,0.31,0.04
beta0,0.84,0.24,2.36,0.64
par_0,0.84,1.3,0.31,0.52
rho,0.84,0.37,-1,0.09
temp_0,0.84,0.18,1.18,0.21
