param,quant,cv,ela,cont100
rho,0.16,0.25,1,0.4
temp_0,0.16,0.18,1.28,0.33
rho,0.5,0.31,1,0.55
temp_0,0.5,0.18,1.58,0.45
rho,0.84,0.37,1,0.67
temp_0,0.84,0.18,1.87,0.6
