gamma_1,gamma_2,k0,k1,sig_beta0,sig_alpha,sig_rho,sig_proc,opt,lp__,chain,step
1.0622527956005343,1.0889262799349035,8.618902809684117,0.7374498435444878,0.07106087814697011,0.15642588555094378,0.07562578286670735,92.79013663536819,576.5180727064799,-30412.72664420228,1,1
1.0814846416002672,1.1446010177445867,6.899759478942963,0.8919613006388752,0.03166658531442065,0.16578517726645853,0.08089446498478904,92.5284585680425,611.8295307962609,-30460.17795097032,1,2
1.0871777365960116,1.1112559438063074,10.147089054675861,0.6867957176586789,0.058706196862527274,0.20264942469803288,0.07890172697918749,92.92387789302164,562.3710988256106,-30360.208236125305,1,3
1.0467959964547424,1.1124647328221116,7.492100929480054,0.6607976809065449,0.028444343658683577,0.1290250925751629,0.048382881124427436,94.09770613308856,499.34230928345977,-30360.058067478512,1,4
1.059506554208274,1.1144652884187514,8.840046904453384,0.7506251335987268,0.05655894199391246,0.13889789065609934,0.08490513860392776,93.11612384150536,601.220530037837,-30457.861972028008,1,5
1.0766911333425928,1.1326903863995843,7.332844617923563,0.6119770339813894,0.05724925270815644,0.11623935431239704,0.07284086207526154,92.09417889392898,633.066875758404,-30386.142820103618,1,6
1.0796410530720393,1.1223400690625538,8.292168616534394,0.7800344027884205,0.015463217312788909,0.18239553784078807,0.04694095712424378,91.48702139447607,567.8225477935653,-30391.812417480527,1,7
1.0802448747075226,1.1301000155813412,7.2754190053155625,0.7196641369248763,0.04518708505654628,0.13003169432120162,0.07522622292339226,93.85493779700707,516.4689371283729,-30450.450671777395,1,8
1.0329010865112378,1.06792947978384,9.475318471021284,0.6621430679078486,0.04602174475917415,0.046242639124544495,0.09960316480136995,94.18259498182029,557.5351903302153,-30435.679540742352,1,9
1.0750799626594632,1.079689619146672,10.546588636034597,0.7702602844329505,0.031040510603903906,0.17295655595112663,0.09051795896630742,93.5453657628806,599.3978793173782,-30431.12674329316,1,10
1.0638652344058166,1.1001208052561626,9.294047626200491,0.7162943426086498,0.0319271496813452,0.14441779356714754,0.03961599181571103,92.61073172464275,577.2657900967247,-30405.877204518805,1,11
1.0568411841462766,1.1092770624998756,5.929540864208952,0.7882389682571956,0.01795257424227118,0.09514500867597048,0.05772519989172925,92.99605774361238,544.2729931872606,-30431.670519070918,1,12
1.0985189508297881,1.1531833581284996,6.071244657886471,0.826519084076709,0.05588954463196422,0.1428467773369263,0.06565112841166099,93.40014716637161,553.596245755933,-30465.405214227183,1,13
1.0596778413871832,1.0782945779748894,8.609973788611484,0.7111698674891169,0.052245182359533626,0.1536323466582094,0.07805291224223808,93.03042268092993,629.7691634222052,-30503.076302191123,1,14
1.0944585763747745,1.1537307206913563,8.29531271067234,0.7319598567833656,0.03685315999773287,0.19501647276905892,0.060595515347122694,93.84652014366957,571.4008393066832,-30445.184946694222,1,15
1.0708676042918934,1.1056128357609214,8.407463138360768,0.7278438967452323,0.04373248257017215,0.17082645501369492,0.057196414767415334,92.53362479437509,567.2766868108247,-30430.50148273779,1,16
1.0651625924594132,1.1473354312990929,10.00144237592151,0.6722772328027093,0.032466522698180185,0.11633057860649144,0.07889058947737837,93.66827671725937,578.457344454874,-30357.58565109708,1,17
1.0801601038171125,1.116027008706312,6.57287424337122,0.7441298359752572,0.026327751330621894,0.07198081808929235,0.04330552272259342,92.92935730422221,587.2627174806464,-30320.791776709313,1,18
1.0398099185846041,1.0690662363812482,7.154966076810815,0.9374225297882115,0.03396824982081354,0.1161688052033073,0.08322911972943779,92.1395673823773,528.5395832078284,-30377.219278585595,1,19
1.0510668300333097,1.0760390254946024,7.453307232445991,0.6694640582570891,0.024733650385473493,0.13750691061148015,0.04987231191252566,92.73977637670997,531.160676527615,-30473.371952683472,1,20
1.0622376110247875,1.1428108862169117,9.600048560071933,0.8559006076113459,0.03421082655775988,0.08515516336373935,0.09231829501048294,93.23626717542,578.6540614177322,-30544.62928642198,1,21
1.0967919194599727,1.1436558523533285,6.629457110576568,0.6292457243497728,0.03451573215421341,0.1740630831155552,0.0568264826872043,93.96045495914989,531.6950730883497,-30441.93929172973,1,22
1.0468076049719295,1.1052328515253278,6.204002655270846,0.8865767181751337,0.04813963192385864,0.12745386429331376,0.07899460746120752,93.24556641457517,558.3992849466678,-30430.529033711617,1,23
1.0599278591181998,1.0411299525006288,8.080185784759223,0.7589909126288045,0.027092451788872134,0.17428676205889987,0.036386360083661445,92.93430548396464,577.2863900733466,-30513.83035860464,1,24
1.0518247436698198,1.0629231129365224,7.880824588050675,0.8273465143415455,0.039191088172379665,0.09926589996159912,0.09254394179158644,92.97148245633134,519.2599829752186,-30526.396519059203,1,25
1.0564612942164822,1.1104699716014863,8.479478897850406,0.7438531221737371,0.06116749251229968,0.08265580907380436,0.10070660488114785,92.78175299749994,575.7216825257113,-30357.10788481996,1,26
1.048947100604845,1.1533383617964452,8.381944477273533,0.7159168289453751,0.06205127594409629,0.10963795205204728,0.07058599288212182,93.1222029801852,529.0982681193373,-30383.528003590727,1,27
1.0760962050212175,1.1529164099570417,9.060397672571549,0.8548496025716964,0.0418172143247796,0.0986053011944423,0.10495925092986905,93.38301927565567,539.5812537585414,-30468.49108356685,1,28
1.079743731505698,1.0836938040671298,8.933239057508231,0.7812434933191574,0.03833948316303233,0.22645692576921583,0.10841678810613056,93.53888361232369,559.2668434558092,-30396.356708545787,1,29
1.0405548613726583,1.1186003379543208,7.772222815176817,0.7495247708802225,0.04480095274781786,0.12844750250007486,0.07475773072392795,92.71840438235321,546.1280460124675,-30468.56349775621,1,30
1.0802171068980524,1.1174045296772215,9.030578594349052,0.6482844035953916,0.028061152327025333,0.14997963706839829,0.04086401667794456,92.1033987279683,594.8164258967503,-30376.326905289134,1,31
1.0378706048909974,1.0988054777068046,6.878265837157022,0.8310763514536962,0.039907719954174956,0.14053045312718868,0.06550760234544657,93.36549501584282,490.23876825584443,-30399.713220976355,1,32
1.050863331609867,1.058604413844645,10.0241988215556,0.6932080075156025,0.04256056863276605,0.13725105685972347,0.07462661106991608,93.21628417608393,591.9041876379548,-30412.660328321166,1,33
1.0672693860524909,1.152416394115042,8.42963210946075,0.7313140562387369,0.05223836024295526,0.14240532365846903,0.1092355720698403,93.12792357452183,569.8206170914146,-30445.620681218126,1,34
1.1020797743366293,1.1737168179660464,6.252280162018748,0.7204393970342845,0.03712065436601153,0.10946687650414128,0.0724496332647614,93.881942182338,591.7178298460213,-30392.399850525184,1,35
1.0792947746027302,1.059671333204142,8.297555724563678,0.8181685552885938,0.03943184205346676,0.11789177450976192,0.03949882451349637,90.46163221567106,543.4094354822982,-30409.68766041237,1,36
1.0847514449187456,1.1451413400392767,9.400348659225067,0.8413956992692334,0.04089158872986936,0.21467436927287842,0.08563227549574805,92.8395810804023,559.3172032103042,-30539.505891640263,1,37
1.051042438373876,1.0622724426574093,7.700459948891666,0.7086881965019843,0.031214566981804002,0.15718938408772606,0.05201209974619241,93.44223596525244,591.4668053336395,-30313.49113150593,1,38
1.0777652746556343,1.1709739302060216,7.555900012974395,0.6375677612287332,0.052669185321256695,0.12614275023735214,0.08449013159412284,92.4592823318144,550.2779386606769,-30434.00327325968,1,39
1.0696210237141404,1.1095232408487283,7.893954311319542,0.9017608545100668,0.05808800135423291,0.0941578863431223,0.07778783985171135,94.06281911746692,534.9851040061222,-30393.875052344378,1,40
1.0644966548658552,1.170071450725712,8.554118408331147,0.6911762045441134,0.038303530242860734,0.1484066748460513,0.09603794254351547,94.89059219085348,565.6271688999228,-30387.597696785917,1,41
1.0634552299026085,1.0465918072427838,9.367131131821171,0.6363750581616201,0.037151176645813015,0.10423469541814682,0.07094001995972327,93.04811034374937,558.7936051838037,-30332.71181186997,1,42
1.0265897456036466,1.095990967819621,8.666282006047659,0.7763869664130405,0.03394642394447357,0.10243011877595413,0.0886577686057208,92.1322400136585,533.6534815928077,-30403.32246158875,1,43
1.0927942971257165,1.1134048826895901,6.986128377888024,0.806848982410046,0.03851755320002296,0.10927826557065698,0.048820710651339284,92.30358995383905,560.7707766673109,-30447.672006750665,1,44
1.0924259197835438,1.1220004305825542,5.704852361812686,0.8541855032996974,0.031182450818654228,0.18662868910044794,0.06867165875904613,91.78860310013897,563.6454683756804,-30403.3723585996,1,45
1.0962515639728518,1.1670665793357387,8.409446044698132,0.7105583580495602,0.05401946023717596,0.16526080220674866,0.08016800534077337,90.37084131256461,578.4394115429586,-30366.678888069622,1,46
1.0897388122757645,1.1425103388836912,9.447876680974666,0.682721934203274,0.04688212786868699,0.26539410491367754,0.08531941099269835,93.0925477934182,574.6380221846255,-30420.433498694652,1,47
1.0818413788940646,1.153672108885556,7.078057208054642,0.6928034488147129,0.03858120427847046,0.11304306541934737,0.049456275693303305,93.48946499948993,575.8032354776916,-30435.731707910298,1,48
1.074721752463498,1.0600166617737066,7.907003779432569,0.7816248420592687,0.02552149626886524,0.1442568203977425,0.060343277898852694,91.24596266799446,567.3673388784788,-30512.5772803806,1,49
1.0561786588509832,1.1142356432508422,4.8483481121907905,0.7992640401747624,0.033906716401998105,0.11897739332427446,0.06757146557395918,93.74153589094182,547.0615762084809,-30384.482591427575,1,50
1.0748536587522775,1.1546547775145284,7.4415787986030155,0.7781362086289489,0.03219031684913194,0.09407865661785741,0.05563959754160101,94.0130847778434,592.2875909879865,-30409.57190644278,1,51
1.0848547565959072,1.0885824743822563,7.909371518727891,0.676935953868359,0.04102982645832012,0.18567695561752304,0.09005378308503428,92.2225972989573,553.9224180333583,-30408.082273416218,1,52
1.0728991237403007,1.1619255913804887,6.198218553861932,0.7301906672645608,0.04833862116601364,0.0769896987814932,0.08545795718797593,94.80870244938676,555.2940753833814,-30448.931786297886,1,53
1.1068740604117422,1.136269184152978,6.968226686329072,0.7723301418897933,0.03939356294472741,0.11225726750877782,0.07494393805150701,93.27627089080697,570.4655148750603,-30434.954299749785,1,54
1.072063359939201,1.0886884953604667,9.608851225022205,0.8146326714061556,0.04484476105199381,0.08801792545277431,0.11215982947755543,92.26959708760876,580.5785859926625,-30363.960690158314,1,55
1.082555211834603,1.1413749110601883,12.085209852859116,0.739849392598818,0.038507778746337575,0.09276573545835358,0.11868527461197198,92.77455554232434,557.3975861874274,-30397.640885240584,1,56
