year,month,yday,hour,par,wspeed,temp,do_eq,sch_conv,do,T_S,D_M
2012,6,163,8,171.10749671668702,2.2,9.95,10496.6293612595,0.4249164843111673,12065.110558724815,1,1
2012,6,163,9,236.50688717200268,1.9,9.940000000000001,10499.479553736886,0.42503237581815456,12178.428729898467,1,1
2012,6,163,10,334.0291574130081,2.7,10.015,10478.13279288383,0.424164762154199,12321.304035907828,1,1
2012,6,163,11,618.7207802995985,2.7,10.115,10449.776669596584,0.42301357157400077,12410.268084661191,1,1
2012,6,163,12,765.3206657150466,3.6,10.33,10389.21910409711,0.4205601288115743,12409.692657773265,1,1
2012,6,163,13,826.8614350402796,4.7,10.635,10304.256555109814,0.41712968531975597,12454.39366688205,1,1
2012,6,163,14,823.3808273918537,5.1,10.685,10290.43287603385,0.41657285413465467,12503.11486755009,1,1
2012,6,163,15,855.0103100158959,4.5,10.82,10253.254791337096,0.41507712583808526,12598.416616762703,1,1
2012,6,163,16,851.2389433303501,4.8,10.925,10224.484874434605,0.4139215227938633,12743.474213631918,1,1
2012,6,163,17,772.370967154362,3.2,11.04,10193.1209510929,0.4126635800067667,12804.234861583705,1,1
2012,6,163,18,706.0783135046669,3.5,11.16,10160.55507444799,0.4113594886925368,12712.173862166408,1,1
2012,6,163,19,609.4002209928761,3.6,11.254999999999999,10134.890155525594,0.41033323144385203,12757.825641399384,1,1
2012,6,163,20,499.1997379189994,5.2,11.27,10130.847163093415,0.41017168524171954,12921.72462843809,1,1
2012,6,163,21,373.56554650590977,4,11.245000000000001,10137.58690024586,0.4104410036965459,12944.54690005345,1,1
2012,6,163,22,263.4408666270947,4.6,11.245000000000001,10137.58690024586,0.4104410036965459,12940.97211060926,1,1
2012,6,163,23,142.43740575979254,4.4,11.205,10148.385224233149,0.41087269176035457,12950.15503986473,1,1
2012,6,163,24,83.43048061082833,1.2,11.17,10157.848671634567,0.41125120640654905,12858.39372587554,1,1
2012,6,164,1,21.926633970033947,3.1,11.16,10160.55507444799,0.4113594886925368,12889.820037984275,1,2
2012,6,164,2,6.112946736016033,2,11.205,10148.385224233149,0.41087269176035457,12968.766512092116,1,2
2012,6,164,3,5.4408088456907135,2.6,11.21,10147.034440210793,0.4108186782881967,12959.405451209479,1,2
2012,6,164,4,14.413800088693412,2,11.15,10163.262616510185,0.4114678311528919,12845.418315803523,1,2
2012,6,164,5,41.112737910317364,2,11.11,10174.104189922544,0.41190180345660876,12901.281010968043,1,2
2012,6,164,6,77.15531575577643,3.2,11.055,10189.041207420112,0.4125000925952711,12859.816918367302,1,2
2012,6,164,7,131.12231307922195,4.1,11.02,10198.564623770544,0.412881775364668,12929.87165966812,1,2
2012,6,164,8,179.97326156605493,3.4,11.004999999999999,10202.650391908861,0.41304558114777085,12924.79469136981,1,2
2012,6,164,9,372.8344496723357,2.4,11.059999999999999,10187.681865929768,0.41244562707349314,12963.147649555252,1,2
2012,6,164,10,485.1596138586851,3,11.085,10180.889452893418,0.4121735263773678,12979.627632214557,1,2
2012,6,164,11,533.6339793995355,3.6,11.125,10170.036460037312,0.41173895080240824,12933.093729440328,1,2
2012,6,164,12,793.0534362252298,2.8,11.190000000000001,10152.43928122119,0.4110348222140385,12946.1879955195,1,2
2012,6,164,13,789.6315765666304,5.1,11.309999999999999,10120.078299559556,0.40974155262079903,12921.303550104512,1,2
2012,6,164,14,690.2638256202239,5.2,11.43,10087.880009115459,0.408456870755731,12887.885273289652,1,2
2012,6,164,15,853.7609385489391,6.1,11.555,10054.51196015385,0.40712772593094576,12781.448909885665,1,2
2012,6,164,16,874.4718473813867,5.6,11.67,10023.967192405878,0.4059130238599567,12792.95143126881,1,2
2012,6,164,17,751.1542319022656,5.1,11.76,10000.164804130749,0.4049677736838321,12932.117689277122,1,2
2012,6,164,18,716.1104021475483,6,11.835,9980.39768481399,0.40418365755466784,12883.266869179912,1,2
2012,6,164,19,612.2653743084034,5.7,11.875,9969.880478307063,0.40376679209924393,12868.338113511498,1,2
2012,6,164,20,501.3433947350984,5.6,11.895,9964.628447512756,0.4035587053322657,12839.799853422424,1,2
2012,6,164,21,380.66745298764835,3.2,11.9,9963.316123627148,0.40350671963065926,12787.688889067776,1,2
2012,6,164,22,263.75035808321564,4.2,11.809999999999999,9986.979853021494,0.40444466775995497,12725.53985206901,1,2
2012,6,164,23,155.21720670073586,4.2,11.765,9998.845070542955,0.40491539786839226,12762.837904368276,1,2
2012,6,164,24,71.99160082778853,3.7,11.695,10017.346438649924,0.40564998130854235,12614.527859317497,1,2
2012,6,165,1,23.30939086098622,3.7,11.65,10029.26877861731,0.40612372048449996,12541.229846435726,1,3
2012,6,165,2,7.4193428924517395,4.8,11.615,10038.557228748658,0.40649300212078343,12637.676637065397,1,3
2012,6,165,3,7.003355612443589,5.2,11.535,10059.839113799255,0.40733977027328977,12489.937072651745,1,3
2012,6,165,4,15.705442285746045,4.6,11.379999999999999,10101.27626139414,0.40899111517845244,12395.35135149755,1,3
2012,6,165,5,47.50028117456431,4.8,11.405000000000001,10094.574623204979,0.4087238076614989,12333.240055956845,1,3
2012,6,165,6,64.5693271730678,3.6,11.175,10156.495897247905,0.41119708781772,12348.648799037852,1,3
2012,6,165,7,70.40298468348088,2.8,11.055,10189.041207420112,0.4125000925952711,12307.768074411713,1,3
2012,6,165,8,106.5515357295079,2.9,10.985,10208.102105036232,0.4132642014429549,12184.296728234583,1,3
2012,6,165,9,149.42828433907871,3.2,10.97,10212.193909390311,0.41342832626053233,12085.914863427219,1,3
2012,6,165,10,148.66880272549946,1.9,10.955,10216.288304297164,0.4135925880102522,12058.953801196521,1,3
2012,6,165,11,333.0466715629391,3.5,10.945,10219.019341167761,0.4137021719770182,12060.364430504707,1,3
2012,6,165,12,626.6802723002719,3.1,11.025,10197.203275242513,0.412827203782112,12050.17175385218,1,3
2012,6,165,13,823.1814865453015,2.6,11.129999999999999,10168.681120915351,0.411684696740407,11943.690967055309,1,3
