gamma_1,gamma_2,k0,k1,sig_beta0,sig_alpha,sig_rho,sig_proc,lp__,chain,step
1.1231456879240542,1.202141195978741,2.457122647009845,0.3726594924567658,0.06440967889078533,0.09130707175111921,0.054444966477456225,87.96086908185879,-6839.333536711508,1,1
1.0338769165662736,1.1422282994991464,2.425970031632656,0.2764018547113247,0.0629535471150045,0.09634254093786754,0.0037787801791750466,89.54487282423997,-6841.027931360861,1,2
1.1517415432451645,1.2272801539760323,0.9524232350735463,0.4755113611644394,0.05942967585147231,0.008031519043271512,0.04906354830926006,88.40612092479365,-6873.752465390501,1,3
1.1608611556140909,1.1396839428099632,2.9352616739945074,0.39117256827481023,0.11339368633930375,0.04910752770983944,0.029998091043711005,88.03730136211652,-6820.28966708449,1,4
1.127583934261967,1.0861113227100818,4.975899046076704,0.314941899532168,0.0789993312224017,0.029424538128827293,0.021508252975066897,89.44101928627936,-6823.02885139281,1,5
1.1189229287492992,1.1593804698076853,2.079802834387986,0.4290791743102172,0.10572516721951854,0.01339917841300908,0.026388199991968533,87.66050857658921,-6785.015160391751,1,6
1.12670956013765,1.0927427606898095,2.2512707431182246,0.3408496986071344,0.023419885592068652,0.08497293458692759,0.018963305862664467,89.92781401357617,-6793.545427707126,1,7
1.1377625929931465,1.1799575239369557,3.147845870857559,0.35148527699688764,0.05518909144050825,0.028226361979989047,0.021876521985203377,89.08044774034978,-6762.443150416295,1,8
1.1373304801110846,1.1439409998163883,2.130540787573411,0.32331614207739817,0.026852618318990277,0.07907098212355877,0.0021025020718118516,91.01826012913524,-6785.794387305113,1,9
1.1415389276358534,1.168217877919306,1.9357874220758884,0.5099885398585504,0.0870458079798623,0.16119433703896452,0.051371509272156175,91.91098221243261,-6811.468471580982,1,10
1.0793903181757694,1.1338026971264246,3.598788236381041,0.30159773998474054,0.04555210134496287,0.04145277810832306,0.049123193933653164,88.38761531937237,-6805.708202998456,1,11
1.0406318354208186,1.019622695480192,2.4159438966294724,0.25514342143291463,0.045179547815416415,0.04834574007909037,0.0031494678557009072,89.22590600564352,-6800.727557109555,1,12
1.1054229209076494,1.1579541376986036,2.654095471377153,0.4253540149955949,0.04559991460354972,0.09854620912103093,0.07489983932632562,86.11822757388786,-6817.635998724077,1,13
